best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09,33,cand_033_g03_m09,0.026591509580612183,0.026591509580612183,True,0.0026170015335083008,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0026', 'semantic_drop_small:0.0026']",0.0026170015335083008,4.709209689870477,0.25022197323019324,3,0.0,1.0,combined_all,False,False,0.0,3.0,0.026835412425661124,0.729411780834198,0.006227928679436445,0.6241199118750437,31.425834515597465,0.9473767876625061,6.108868598937988,8.0,0.6994115710258484,9,4,0.23975396709616006,1.0,0.038524092627006325,0.772549033164978,0.012023922055959702,28.285351631931267,0.9143424034118652,5.112954139709473,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_033_g03_m09/perturbed_edited.png,0.023974508047103882,0.023974508047103882,phase2a_probe,0.25022197323019324,0.23975396709616006,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,1,1,beard,0.7791924476623535,25201,0.0026170015335083008,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02,26,cand_026_g03_m02,0.026591509580612183,0.026591509580612183,True,0.0033117830753326416,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0033', 'semantic_drop_small:0.0033']",0.0033117830753326416,4.697831209748983,0.2441415120676664,3,0.0,1.0,combined_all,False,False,0.0,3.0,0.02582898701020002,0.6509804129600525,0.006116092205047607,0.6391998870032175,31.75785252268711,0.9494879841804504,5.490072727203369,8.0,0.6284633278846741,2,4,0.23089437976633584,1.0,0.03701431874224314,0.7921568751335144,0.011620559729635715,28.632604790126894,0.9171628952026367,4.3802924156188965,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_026_g03_m02/perturbed_edited.png,0.02327972650527954,0.02327972650527954,phase2a_probe,0.2441415120676664,0.23089437976633584,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,2,1,beard,0.8487470149993896,25201,0.0033117830753326416,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10,34,cand_034_g03_m10,0.026591509580612183,0.026591509580612183,True,9.834766387939453e-05,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0001', 'semantic_drop_small:0.0001']",9.834766387939453e-05,4.768650667741895,0.2342125789328655,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.027530953214357695,0.729411780834198,0.005859062075614929,0.6522890669958933,31.20357503216324,0.951320469379425,6.436028003692627,8.0,0.58990478515625,10,4,0.23381918827734793,1.0,0.038680613438393685,0.7686274647712708,0.011483225971460342,28.25013294059311,0.9209032654762268,4.684218883514404,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_034_g03_m10/perturbed_edited.png,0.026493161916732788,0.026493161916732788,phase2a_probe,0.2342125789328655,0.23381918827734793,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,3,1,beard,0.8209218978881836,25201,9.834766387939453e-05,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08,20,cand_020_g02_m08,0.026591509580612183,0.026591509580612183,True,0.0019973814487457275,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0020', 'semantic_drop_small:0.0020']",0.0019973814487457275,4.874863732606173,0.23350301159924672,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.02548006700008673,0.7098039388656616,0.0057141222059726715,0.6483713388442993,31.8759886870715,0.9507719874382019,4.8891191482543945,8.0,0.5850313305854797,8,4,0.2255134858042638,1.0,0.03650399241225522,0.7607843279838562,0.012304806150496006,28.75319269016267,0.9205024838447571,4.1343278884887695,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_020_g02_m08/perturbed_edited.png,0.024594128131866455,0.024594128131866455,phase2a_probe,0.23350301159924672,0.2255134858042638,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,4,1,beard,0.6236120462417603,25201,0.0019973814487457275,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04,28,cand_028_g03_m04,0.026591509580612183,0.026591509580612183,True,0.00029754638671875,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0003', 'semantic_drop_small:0.0003']",0.00029754638671875,4.770157163962722,0.2305676197126448,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.02761943773068443,0.729411780834198,0.00609481381252408,0.6326753071376255,31.175703338425564,0.9485745429992676,6.059263706207275,8.0,0.6566525101661682,4,4,0.2293774341657698,1.0,0.0369744860906139,0.7450980544090271,0.011766314506530762,28.64195707119834,0.9185205101966858,5.025567054748535,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_028_g03_m04/perturbed_edited.png,0.026293963193893433,0.026293963193893433,phase2a_probe,0.2305676197126448,0.2293774341657698,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,5,1,beard,0.7728652954101562,25201,0.00029754638671875,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05,29,cand_029_g03_m05,0.026591509580612183,0.026591509580612183,True,0.0003324449062347412,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0003', 'semantic_drop_small:0.0003']",0.0003324449062347412,4.84554310888052,0.22720984641924533,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.025687079184062857,0.686274528503418,0.00530225969851017,0.6912275041852679,31.805705510126664,0.9567718505859375,5.730294704437256,8.0,0.4846620261669159,5,4,0.22588006679430636,1.0,0.03748987124416985,0.7176470756530762,0.011547558940947056,28.52172102247993,0.924079418182373,4.008277416229248,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_029_g03_m05/perturbed_edited.png,0.02625906467437744,0.02625906467437744,phase2a_probe,0.22720984641924533,0.22588006679430636,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,6,1,beard,0.731880784034729,25201,0.0003324449062347412,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12,24,cand_024_g02_m12,0.026591509580612183,0.026591509580612183,True,0.0002918541431427002,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0003', 'semantic_drop_small:0.0003']",0.0002918541431427002,4.881848078221083,0.22543445957999445,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.0277686013247677,0.6980392336845398,0.006651630159467459,0.6118886130196708,31.128919893099336,0.9456644058227539,5.966492652893066,8.0,0.7299370169639587,12,4,0.22426704300742364,1.0,0.03594804737294966,0.6745098233222961,0.011538859456777573,28.886493893206957,0.919525146484375,5.02171516418457,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_024_g02_m12/perturbed_edited.png,0.026299655437469482,0.026299655437469482,phase2a_probe,0.22543445957999445,0.22426704300742364,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,7,1,beard,0.7726457118988037,25201,0.0002918541431427002,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02,14,cand_014_g02_m02,0.026591509580612183,0.026591509580612183,True,0.0007788240909576416,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0008', 'semantic_drop_small:0.0008']",0.0007788240909576416,4.7195519004017115,0.21825969639753653,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.023992287882939882,0.6901960968971252,0.005057390779256821,0.6998212167194912,32.39856672254467,0.9579749703407288,5.263118743896484,8.0,0.4310203492641449,2,4,0.21514440003370597,1.0,0.0353847156547888,0.7215686440467834,0.010933653451502323,29.023685799141035,0.9263944625854492,3.408722162246704,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_014_g02_m02/perturbed_edited.png,0.02581268548965454,0.02581268548965454,phase2a_probe,0.21825969639753653,0.21514440003370597,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,8,1,beard,0.7141114473342896,25201,0.0007788240909576416,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12,36,cand_036_g03_m12,0.026591509580612183,0.026591509580612183,True,0.0013216733932495117,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0013', 'semantic_drop_small:0.0013']",0.0013216733932495117,4.7065149042755365,0.2169996219392683,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.02558290025832829,0.7098039388656616,0.0056597390212118626,0.6535590716770717,31.841004447507963,0.95149827003479,6.339720249176025,8.0,0.5506239533424377,12,4,0.21171292836627026,1.0,0.03403989269127612,0.7607843279838562,0.011346831917762756,29.36023635345293,0.9244466423988342,3.9103357791900635,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_036_g03_m12/perturbed_edited.png,0.02526983618736267,0.02526983618736267,phase2a_probe,0.2169996219392683,0.21171292836627026,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,9,1,beard,0.8086377382278442,25201,0.0013216733932495117,4.0,0.86,4
phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01,existence_probe,8.0,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01,25,cand_025_g03_m01,0.026591509580612183,0.026591509580612183,True,0.0015830397605895996,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0016', 'semantic_drop_small:0.0016']",0.0015830397605895996,4.712727731093764,0.21129947699464474,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.024016811699623258,0.7058823704719543,0.00523159047588706,0.6739762169974192,32.3896929387997,0.9543566703796387,4.603611469268799,8.0,0.5265272855758667,1,4,0.20496731795228634,1.0,0.032882093879970695,0.8039215803146362,0.010964610613882542,29.660810701250995,0.9265610575675964,3.789257526397705,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01/flow.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01/original.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01/original_edited.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01/perturbed.png,phase2/outputs/phase2a_probe/add_a_small_beard/existence_probe/seed_00/candidates/cand_025_g03_m01/perturbed_edited.png,0.025008469820022583,0.025008469820022583,phase2a_probe,0.21129947699464474,0.20496731795228634,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add a small beard,4,add_a_small_beard,10,1,beard,0.6204774975776672,25201,0.0015830397605895996,4.0,0.86,4
