best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,semantic_rescored_from_cache,target_input_ssim,tps_size
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08,32,cand_032_g03_m08,0.03148290514945984,0.03148290514945984,True,-0.007376641035079956,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0074', 'semantic_drop_nonpositive:-0.0074']",0.0,4.938485307618976,0.18447967114786662,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.02688346941941275,0.8941176533699036,0.005552617833018303,0.7000596352985927,31.41029369117664,0.958008348941803,7.055722713470459,8.0,0.4875980317592621,8,4,0.18447967114786662,1.0,0.03352055386389384,0.6313725709915161,0.009249861352145672,29.49377628171495,0.9496025443077087,4.589052200317383,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_032_g03_m08/perturbed_edited.png,0.038859546184539795,0.038859546184539795,phase2a_probe,0.18447967114786662,0.18447967114786662,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,1,1,glasses,0.8999645709991455,23201,-0.007376641035079956,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10,22,cand_022_g02_m10,0.03148290514945984,0.03148290514945984,True,-0.00977298617362976,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0098', 'semantic_drop_nonpositive:-0.0098']",0.0,4.975072391331196,0.18385345504891132,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.0306505311203575,0.9333333373069763,0.006183689460158348,0.6746982846941267,30.2712399102575,0.9544577598571777,7.335076332092285,8.0,0.5282821655273438,10,4,0.18385345504891132,1.0,0.03391930651220494,0.6392157077789307,0.00910505373030901,29.391060711444133,0.9518237709999084,4.8851399421691895,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_022_g02_m10/perturbed_edited.png,0.0412558913230896,0.0412558913230896,phase2a_probe,0.18385345504891132,0.18385345504891132,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,2,1,glasses,0.9355964660644531,23201,-0.00977298617362976,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12,24,cand_024_g02_m12,0.03148290514945984,0.03148290514945984,True,-0.007905334234237671,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0079', 'semantic_drop_nonpositive:-0.0079']",0.0,5.118563760071993,0.17543634424373264,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.026527364191567863,0.8941176533699036,0.005317942705005407,0.7105985879898071,31.526118003690137,0.959483802318573,6.273725986480713,8.0,0.47781822085380554,12,4,0.17543634424373264,1.0,0.032196319723538445,0.6745098233222961,0.013188567943871021,29.843875370496885,0.9533489346504211,4.624772071838379,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_024_g02_m12/perturbed_edited.png,0.03938823938369751,0.03938823938369751,phase2a_probe,0.17543634424373264,0.17543634424373264,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,3,1,glasses,0.8002201318740845,23201,-0.007905334234237671,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12,36,cand_036_g03_m12,0.03148290514945984,0.03148290514945984,True,-0.00886496901512146,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0089', 'semantic_drop_nonpositive:-0.0089']",0.0,4.998715640977025,0.17149821151105166,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.02845276900806649,0.929411768913269,0.005699886009097099,0.6950949941362654,30.917509238168893,0.9573132991790771,6.701624393463135,8.0,0.46393200755119324,12,4,0.17149821151105166,1.0,0.03129408565364182,0.6313725709915161,0.0086750453338027,30.09075466165386,0.9536781311035156,3.8562827110290527,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_036_g03_m12/perturbed_edited.png,0.0403478741645813,0.0403478741645813,phase2a_probe,0.17149821151105166,0.17149821151105166,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,4,1,glasses,0.8547990322113037,23201,-0.00886496901512146,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03,15,cand_015_g02_m03,0.03148290514945984,0.03148290514945984,True,-0.0075034499168396,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0075', 'semantic_drop_nonpositive:-0.0075']",0.0,5.214159052819014,0.1690089491785539,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.02849624204466304,0.7215686440467834,0.005756085272878408,0.6940233877726963,30.904248180093408,0.9571632742881775,6.7255330085754395,8.0,0.4631517231464386,3,4,0.1690089491785539,1.0,0.030236075018370476,0.7333333492279053,0.011624758131802082,30.389491716125914,0.951935350894928,4.268808364868164,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_015_g02_m03/perturbed_edited.png,0.03898635506629944,0.03898635506629944,phase2a_probe,0.1690089491785539,0.1690089491785539,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,5,1,glasses,0.8578485250473022,23201,-0.0075034499168396,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03,27,cand_027_g03_m03,0.03148290514945984,0.03148290514945984,True,-0.006962835788726807,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0070', 'semantic_drop_nonpositive:-0.0070']",0.0,4.933550527319312,0.16217428695679248,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.022978681309609717,0.8588235378265381,0.004607899580150843,0.7402140072413853,32.77349796064175,0.963629961013794,6.7244553565979,8.0,0.4379371106624603,3,4,0.16217428695679248,1.0,0.02965936127185956,0.7098039388656616,0.011648979038000107,30.55676411881203,0.9564631581306458,3.954577922821045,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_027_g03_m03/perturbed_edited.png,0.038445740938186646,0.038445740938186646,phase2a_probe,0.16217428695679248,0.16217428695679248,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,6,1,glasses,0.8577110767364502,23201,-0.006962835788726807,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06,18,cand_018_g02_m06,0.03148290514945984,0.03148290514945984,True,-0.0009958446025848389,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0010', 'semantic_drop_nonpositive:-0.0010']",0.0,5.654163047671318,0.15325213287896558,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.029533876983104945,0.929411768913269,0.005724405404180288,0.6851508106504168,30.593590768216913,0.9559211134910583,6.780115604400635,8.0,0.4534367024898529,6,4,0.15325213287896558,1.0,0.02805213832514148,0.6274510025978088,0.008208033628761768,31.04068056522302,0.9589564204216003,4.00822639465332,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_018_g02_m06/perturbed_edited.png,0.03247874975204468,0.03247874975204468,phase2a_probe,0.15325213287896558,0.15325213287896558,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,7,1,glasses,0.9317950010299683,23201,-0.0009958446025848389,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04,28,cand_028_g03_m04,0.03148290514945984,0.03148290514945984,True,-0.007660001516342163,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0077', 'semantic_drop_nonpositive:-0.0077']",0.0,5.162220407277346,0.15073131323495748,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.026326391882196105,0.8823529481887817,0.005042456090450287,0.7162563460213798,31.592173165791763,0.9602758884429932,6.401607036590576,8.0,0.42681583762168884,4,4,0.15073131323495748,1.0,0.027032923700012867,0.6901960968971252,0.008753424510359764,31.362139627559937,0.957400381565094,3.817662000656128,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_028_g03_m04/perturbed_edited.png,0.039142906665802,0.039142906665802,phase2a_probe,0.15073131323495748,0.15073131323495748,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,8,1,glasses,0.8165315389633179,23201,-0.007660001516342163,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01,25,cand_025_g03_m01,0.03148290514945984,0.03148290514945984,True,-0.006303191184997559,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0063', 'semantic_drop_nonpositive:-0.0063']",0.0,5.042073970660567,0.14834646968002735,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.01959104028947847,0.5176470875740051,0.0040590823628008366,0.7666222708565849,34.158850044796715,0.9673271179199219,5.858863830566406,8.0,0.31874704360961914,1,4,0.14834646968002735,1.0,0.02648591644554242,0.6274510025978088,0.011001010425388813,31.539699906818992,0.9575971961021423,2.75046968460083,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_025_g03_m01/perturbed_edited.png,0.0377860963344574,0.0377860963344574,phase2a_probe,0.14834646968002735,0.14834646968002735,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,9,1,glasses,0.7473040819168091,23201,-0.006303191184997559,4.0,True,0.86,4
phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07,existence_probe,8.0,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07,31,cand_031_g03_m07,0.03148290514945984,0.03148290514945984,True,-0.0024357736110687256,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0024', 'semantic_drop_nonpositive:-0.0024']",0.0,5.010334188118577,0.14673350107772298,3,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.023910999597634448,0.5686274766921997,0.004689574707299471,0.7452510254723685,32.42804535709691,0.9643351435661316,6.956704616546631,8.0,0.47699078917503357,7,4,0.14673350107772298,1.0,0.026682848364370935,0.6274510025978088,0.008987576700747013,31.475356236563545,0.9599978923797607,4.703294277191162,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/existence_probe/seed_00/candidates/cand_031_g03_m07/perturbed_edited.png,0.033918678760528564,0.033918678760528564,phase2a_probe,0.14673350107772298,0.14673350107772298,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,10,1,glasses,0.8873347043991089,23201,-0.0024357736110687256,4.0,True,0.86,4
