best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12,36,cand_036_g03_m12,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.39043908752501,0.14200163698838508,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.02263683013995579,0.9098039269447327,0.004574769642204046,0.3812690178553269,32.90368775913486,0.9628761410713196,3.529557943344116,4.0,0.3129397928714752,12,4,0.14200163698838508,1.0,0.0255838205830414,0.7254902124404907,0.011107650585472584,31.840691985080873,0.9603336453437805,2.9907400608062744,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_036_g03_m12/perturbed_edited.png,0.0,0.0,phase2a_probe,0.14200163698838508,0.14200163698838508,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,1,1,glasses,0.934207558631897,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11,35,cand_035_g03_m11,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,4.99367949180305,0.14134964685166154,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.019113283219377317,0.7411764860153198,0.0038524754345417023,0.46809212366739955,34.37329409606928,0.968085527420044,2.4658238887786865,4.0,0.24392589926719666,11,4,0.14134964685166154,1.0,0.02591248686245152,0.6470588445663452,0.011051003821194172,31.729818101678976,0.9623003005981445,2.223085880279541,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_035_g03_m11/perturbed_edited.png,0.0,0.0,phase2a_probe,0.14134964685166154,0.14134964685166154,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,2,1,glasses,0.6738497018814087,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03,27,cand_027_g03_m03,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.121979581192136,0.14132992778019854,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.019559782019672237,0.8117647171020508,0.0039598955772817135,0.46377178033193,34.17271978869944,0.9678263068199158,3.0441858768463135,4.0,0.2664160132408142,3,4,0.14132992778019854,1.0,0.02604411133576619,0.7372549176216125,0.011143074370920658,31.685809135182325,0.9628465175628662,2.5395641326904297,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_027_g03_m03/perturbed_edited.png,0.0,0.0,phase2a_probe,0.14132992778019854,0.14132992778019854,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,3,1,glasses,0.8096612691879272,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11,23,cand_023_g02_m11,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,4.995211396366358,0.13625440801383487,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.021212636623156145,0.8392156958580017,0.004238083492964506,0.42982693513234504,33.46810695053498,0.9657896161079407,3.376430034637451,4.0,0.29312774538993835,11,4,0.13625440801383487,1.0,0.024975488099459386,0.6705882549285889,0.008578547276556492,32.04972031082403,0.9636475443840027,2.6454386711120605,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_023_g02_m11/perturbed_edited.png,0.0,0.0,phase2a_probe,0.13625440801383487,0.13625440801383487,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,4,1,glasses,0.9181972742080688,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06,30,cand_030_g03_m06,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.067894224077463,0.13136060518752513,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.019530683747666207,0.800000011920929,0.0038923928514122963,0.4781603415807093,34.18565104551738,0.9686896204948425,3.5542757511138916,4.0,0.28137102723121643,6,4,0.13136060518752513,1.0,0.024078506933477965,0.7215686440467834,0.008051952347159386,32.3674089285627,0.9649534225463867,2.593933343887329,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_030_g03_m06/perturbed_edited.png,0.0,0.0,phase2a_probe,0.13136060518752513,0.13136060518752513,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,5,1,glasses,0.9157987833023071,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02,26,cand_026_g03_m02,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.892449911683798,0.12047132220417174,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.019637740665354775,0.7333333492279053,0.003994198050349951,0.4599580764770513,34.13816959066756,0.967597484588623,3.258188247680664,4.0,0.2880079746246338,2,4,0.12047132220417174,1.0,0.021573564327135464,0.658823549747467,0.00752125633880496,33.32156191971634,0.9658229351043701,2.6253063678741455,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_026_g03_m02/perturbed_edited.png,0.0,0.0,phase2a_probe,0.12047132220417174,0.12047132220417174,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,6,1,glasses,0.8317526578903198,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10,10,cand_010_g01_m10,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,4.96588877029717,0.12028179092657783,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.01627345740147224,0.686274528503418,0.0031751596834510565,0.5818128188451135,35.770403371668614,0.9749087691307068,2.9804389476776123,4.0,0.1754985749721527,10,4,0.12028179092657783,1.0,0.022269555736214464,0.6078431606292725,0.008558947592973709,33.045768935686624,0.96879643201828,1.5490858554840088,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_010_g01_m10/perturbed_edited.png,0.0,0.0,phase2a_probe,0.12028179092657783,0.12028179092657783,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,7,1,glasses,0.9606658220291138,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10,34,cand_034_g03_m10,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.91402880474925,0.11822332016730236,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.016492521468812627,0.800000011920929,0.0033874856308102608,0.5382547378540044,35.654258838258315,0.9722952842712402,3.4480371475219727,4.0,0.22979864478111267,10,4,0.11822332016730236,1.0,0.021439540068566618,0.6823529601097107,0.00788723211735487,33.37569071151266,0.9675348401069641,2.225217580795288,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_034_g03_m10/perturbed_edited.png,0.0,0.0,phase2a_probe,0.11822332016730236,0.11822332016730236,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,8,1,glasses,0.8796013593673706,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08,32,cand_032_g03_m08,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,4.921695062890649,0.11820346427055937,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.017800833441827525,0.729411780834198,0.00362002314068377,0.5031088590621953,34.99119326762772,0.9701865315437317,2.9130313396453857,4.0,0.24853992462158203,8,4,0.11820346427055937,1.0,0.021400303423635022,0.6235294342041016,0.0070131332613527775,33.39160137948704,0.9673977494239807,2.1658589839935303,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_032_g03_m08/perturbed_edited.png,0.0,0.0,phase2a_probe,0.11820346427055937,0.11820346427055937,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,9,1,glasses,0.7759406566619873,23001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10,medium,4.0,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10,22,cand_022_g02_m10,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.93370271474123,0.11730990667378524,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.01550215105294117,0.886274516582489,0.0029768601525574923,0.600272377332052,36.19216071323124,0.9760163426399231,2.815311908721924,4.0,0.2001405507326126,10,4,0.11730990667378524,1.0,0.021559680152027853,0.6941176652908325,0.00828132126480341,33.32715372799886,0.9689288139343262,1.767009973526001,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10/flow.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10/original.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10/original_edited.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10/perturbed.png,phase2/outputs/phase2a_probe/add_black_sunglasses/medium/seed_00/candidates/cand_022_g02_m10/perturbed_edited.png,0.0,0.0,phase2a_probe,0.11730990667378524,0.11730990667378524,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add black sunglasses,2,add_black_sunglasses,10,1,glasses,0.7781567573547363,23001,0.0,4.0,0.94,4
