best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,semantic_rescored_from_cache,target_input_ssim,tps_size
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11,11,cand_011_g01_m11,0.02973318099975586,0.02973318099975586,True,0.012950599193572998,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0130', 'semantic_drop_small:0.0130']",0.012950599193572998,5.105640668421984,0.26345531820758933,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.031146189999637988,0.929411768913269,0.006503560114651918,0.5213061571121215,30.13190142846448,0.9521306157112122,5.562582015991211,6.0,0.5328993797302246,11,4,0.21165292143329734,1.0,0.0367460218059638,0.8392156958580017,0.010038052685558796,28.69579343158862,0.9353311657905579,4.780816078186035,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_011_g01_m11/perturbed_edited.png,0.01678258180618286,0.01678258180618286,phase2a_probe,0.26345531820758933,0.21165292143329734,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,1,1,glasses,0.9466586112976074,24101,0.012950599193572998,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07,31,cand_031_g03_m07,0.02973318099975586,0.02973318099975586,True,0.011921435594558716,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0119', 'semantic_drop_small:0.0119']",0.011921435594558716,5.173167489469051,0.22056593755872056,3,0.0,1.0,combined_all,False,False,0.0,3.0,0.02458620537048895,0.9058823585510254,0.004872988909482956,0.6157407760620116,32.18616990007391,0.9615740776062012,5.473477840423584,6.0,0.3570152521133423,7,4,0.1728801951804857,1.0,0.030000036607163664,0.8901960849761963,0.008271291851997375,30.457564306753767,0.947119951248169,3.154977560043335,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_031_g03_m07/perturbed_edited.png,0.017811745405197144,0.017811745405197144,phase2a_probe,0.22056593755872056,0.1728801951804857,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,2,1,glasses,0.9513149261474609,24101,0.011921435594558716,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09,33,cand_033_g03_m09,0.02973318099975586,0.02973318099975586,True,0.008134007453918457,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0081', 'semantic_drop_small:0.0081']",0.008134007453918457,5.103667499497533,0.21305107429940573,3,0.0,1.0,combined_all,False,False,0.0,3.0,0.023412221449086258,0.8470588326454163,0.004635131452232599,0.6415108442306517,32.61114753357869,0.9641510844230652,5.715076923370361,6.0,0.36478471755981445,9,4,0.1805150444837319,1.0,0.0308355673037943,0.8156862854957581,0.008878919295966625,30.21896114281351,0.9428272247314453,3.381969928741455,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_033_g03_m09/perturbed_edited.png,0.021599173545837402,0.021599173545837402,phase2a_probe,0.21305107429940573,0.1805150444837319,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,3,1,glasses,0.9720094203948975,24101,0.008134007453918457,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06,18,cand_018_g02_m06,0.02973318099975586,0.02973318099975586,True,0.00905388593673706,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0091', 'semantic_drop_small:0.0091']",0.00905388593673706,5.200343249365687,0.20500908688462716,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.024522196194622325,0.929411768913269,0.0048069823533296585,0.626825451850891,32.20881274465998,0.9626825451850891,5.7012834548950195,6.0,0.3735155165195465,6,4,0.16879354313767891,1.0,0.029297660777362542,0.8392156958580017,0.008031134493649006,30.66334107553842,0.9483970999717712,3.5184035301208496,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_018_g02_m06/perturbed_edited.png,0.0206792950630188,0.0206792950630188,phase2a_probe,0.20500908688462716,0.16879354313767891,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,4,1,glasses,0.9727514982223511,24101,0.00905388593673706,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01,13,cand_013_g02_m01,0.02973318099975586,0.02973318099975586,True,0.0034331977367401123,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0034', 'semantic_drop_small:0.0034']",0.0034331977367401123,4.973198404535651,0.2037092072288111,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.025756527460429564,0.8666666746139526,0.005328284576535225,0.5848995447158812,31.782253793970995,0.9584899544715881,5.449862957000732,6.0,0.43974560499191284,1,4,0.18997641628185066,1.0,0.032849883599080525,0.8901960849761963,0.00928319338709116,29.669323299780554,0.9414231181144714,3.7619473934173584,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_013_g02_m01/perturbed_edited.png,0.026299983263015747,0.026299983263015747,phase2a_probe,0.2037092072288111,0.18997641628185066,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,5,1,glasses,0.947393536567688,24101,0.0034331977367401123,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03,15,cand_015_g02_m03,0.02973318099975586,0.02973318099975586,True,0.009747892618179321,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0097', 'semantic_drop_small:0.0097']",0.009747892618179321,5.110503593459725,0.20097888031471078,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.02245440854672472,0.9019607901573181,0.004519089125096798,0.6348553895950316,32.973967596952214,0.9634855389595032,5.295507431030273,6.0,0.34350070357322693,3,4,0.1619873098419935,1.0,0.027662800050944843,0.8784313797950745,0.007912631146609783,31.162077247276244,0.9486638903617859,2.875046491622925,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_015_g02_m03/perturbed_edited.png,0.019985288381576538,0.019985288381576538,phase2a_probe,0.20097888031471078,0.1619873098419935,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,6,1,glasses,0.9127237796783447,24101,0.009747892618179321,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03,27,cand_027_g03_m03,0.02973318099975586,0.02973318099975586,True,0.0053473711013793945,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0053', 'semantic_drop_small:0.0053']",0.0053473711013793945,5.031225476413965,0.19601649143754862,3,0.0,1.0,combined_all,False,False,0.0,3.0,0.022126742345136154,0.9019607901573181,0.004418401978909969,0.6518492698669432,33.101650425181234,0.9651849269866943,4.915029048919678,6.0,0.3616678714752197,3,4,0.17462700703203105,1.0,0.030450850969700575,0.8705882430076599,0.009356074966490269,30.328011324148413,0.9471763968467712,3.264498233795166,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_027_g03_m03/perturbed_edited.png,0.024385809898376465,0.024385809898376465,phase2a_probe,0.19601649143754862,0.17462700703203105,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,7,1,glasses,0.9033917188644409,24101,0.0053473711013793945,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03,3,cand_003_g01_m03,0.02973318099975586,0.02973318099975586,True,0.0006563067436218262,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0007', 'semantic_drop_small:0.0007']",0.0006563067436218262,5.169281471520662,0.19269327378360074,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.026293939822452296,0.9058823585510254,0.005169742740690708,0.6018147468566893,31.602886706967492,0.960181474685669,4.5590715408325195,6.0,0.4089019298553467,3,4,0.19006804680911343,1.0,0.03317120188496421,0.9058823585510254,0.008964360691606998,29.584775849953147,0.9426167607307434,3.867462635040283,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_003_g01_m03/perturbed_edited.png,0.029076874256134033,0.029076874256134033,phase2a_probe,0.19269327378360074,0.19006804680911343,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,8,1,glasses,0.9321935176849365,24101,0.0006563067436218262,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12,36,cand_036_g03_m12,0.02973318099975586,0.02973318099975586,True,0.0034418106079101562,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0034', 'semantic_drop_small:0.0034']",0.0034418106079101562,5.147731946781278,0.19012336230589402,3,0.0,1.0,combined_all,False,False,0.0,3.0,0.024283237413222466,0.8941176533699036,0.004906110465526581,0.6218585968017577,32.293868281942636,0.9621858596801758,4.9727067947387695,6.0,0.4191688299179077,12,4,0.1763561198742534,1.0,0.030672754586521418,0.8274509906768799,0.00887617189437151,30.264944403397408,0.9463348984718323,3.90228533744812,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_036_g03_m12/perturbed_edited.png,0.026291370391845703,0.026291370391845703,phase2a_probe,0.19012336230589402,0.1763561198742534,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,9,1,glasses,0.93125319480896,24101,0.0034418106079101562,4.0,True,0.9,4
phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08,strong,6.0,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08,20,cand_020_g02_m08,0.02973318099975586,0.02973318099975586,True,0.0025245249271392822,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0025', 'semantic_drop_small:0.0025']",0.0025245249271392822,5.119108850136399,0.18931578892372314,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.02585314084340685,0.8901960849761963,0.005037460010498762,0.6149224042892455,31.749733756933516,0.9614922404289246,5.57947301864624,6.0,0.4117301404476166,8,4,0.179217689215166,1.0,0.03157511179124878,0.8705882430076599,0.008545574732124805,30.013102063125462,0.9470827579498291,3.6675448417663574,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08/flow.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08/original.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08/original_edited.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08/perturbed.png,phase2/outputs/phase2a_probe/add_round_glasses/strong/seed_00/candidates/cand_020_g02_m08/perturbed_edited.png,0.027208656072616577,0.027208656072616577,phase2a_probe,0.18931578892372314,0.179217689215166,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add round glasses,3,add_round_glasses,10,1,glasses,0.948889970779419,24101,0.0025245249271392822,4.0,True,0.9,4
