best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,phase2c_part,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,region_variant,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,source_candidate_folder,source_candidate_name,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14,62,cand_062_g04_m14,0.027842342853546143,0.027842342853546143,True,0.02327248454093933,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02327248454093933,4.986587272956967,0.20602883523738524,0.02327248454093933,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.005279575469064475,0.4000000059604645,0.0011679006274789572,0.903838038444519,45.548019954078136,0.9903838038444519,0.02535329759120941,0.023198723793029785,0.0021545737981796265,1.5363088846206665,6.0,0.013815095027287802,0.004296173652013143,0.12191546708345413,14,4,0.0010827332735061646,0.0021545737981796265,0.07939583563948233,0.25,0.013500483096004922,0.7372549176216125,0.005659364629536867,37.39301381206238,0.9746060967445374,1.0557336807250977,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_062_g04_m14/perturbed_edited.png,0.0045698583126068115,0.0045698583126068115,phase2c_probe,0.20602883523738524,0.07939583563948233,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,1,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.017163828015327454,0.0043177008628845215,0.26155418157577515,24201,0.02327248454093933,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.0010827332735061646,0.006416246294975281,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04,52,cand_052_g04_m04,0.027842342853546143,0.027842342853546143,True,0.02189052104949951,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02189052104949951,4.87115360237658,0.19578592716570387,0.02189052104949951,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.006635504158945931,0.5803921222686768,0.001392129808664322,0.8814958333969116,43.562521485741996,0.9881495833396912,0.02535329759120941,0.024298489093780518,0.001054808497428894,1.640559196472168,6.0,0.014603902896245321,0.0035073657830556235,0.14567695558071136,4,4,0.0010758638381958008,0.001054808497428894,0.08264703507883109,0.25,0.01393889128084669,0.7568627595901489,0.006172617431730032,37.115435385247665,0.9731085300445557,1.2377448081970215,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_052_g04_m04/perturbed_edited.png,0.005951821804046631,0.005951821804046631,phase2c_probe,0.19578592716570387,0.08264703507883109,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,2,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.018437355756759644,0.0030441731214523315,0.2790561020374298,24201,0.02189052104949951,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.0010758638381958008,0.0064231157302856445,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11,11,cand_011_g01_m11,0.027842342853546143,0.027842342853546143,True,0.022010058164596558,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.022010058164596558,4.983540169894695,0.19501412623490255,0.022010058164596558,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.003408409058803675,0.29803919792175293,0.0007814195123501122,0.9494075775146484,49.34896578209519,0.9949407577514648,0.02535329759120941,0.02360069751739502,0.001752600073814392,1.2874512672424316,6.0,0.01335182785987854,0.004759440819422404,0.0784778967499733,11,4,-0.001641198992729187,0.001752600073814392,0.07573464367252034,0.25,0.012863359981431169,0.6352941393852234,0.005651960149407387,37.81291152901374,0.9757187962532043,0.6268726587295532,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_011_g01_m11/perturbed_edited.png,0.005832284688949585,0.005832284688949585,phase2c_probe,0.19501412623490255,0.07573464367252034,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,3,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.018095985054969788,0.0033855438232421875,0.22525477409362793,24201,0.022010058164596558,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,-0.001641198992729187,0.009140178561210632,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04,20,cand_020_g02_m04,0.027842342853546143,0.027842342853546143,True,0.02168560028076172,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02168560028076172,4.863997921347618,0.19375519081030973,0.02168560028076172,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.0046134870111806305,0.4392157196998596,0.0009588153916411102,0.941248893737793,46.719413955290044,0.9941248893737793,0.02535329759120941,0.021970242261886597,0.003383055329322815,1.6255944967269897,6.0,0.014898682634035746,0.0032125860452651978,0.08945579826831818,4,4,0.0023338794708251953,0.0010896027088165283,0.08108155425686395,0.25,0.013763587912665692,0.6705882549285889,0.006420338526368141,37.22536677614349,0.9739727973937988,0.6160238981246948,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_020_g02_m04/perturbed_edited.png,0.006156742572784424,0.006156742572784424,phase2c_probe,0.19375519081030973,0.08108155425686395,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,4,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.020391926169395447,0.0010896027088165283,0.29264524579048157,24201,0.02168560028076172,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.0023338794708251953,0.00516510009765625,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01,49,cand_049_g04_m01,0.027842342853546143,0.027842342853546143,True,0.020741581916809082,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.020741581916809082,5.085537372156978,0.18635696532393647,0.020741581916809082,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.006421870067006761,0.5176470279693604,0.0013434566790238023,0.8885202407836914,43.84676971426557,0.9888520240783691,0.02535329759120941,0.024952173233032227,0.00040112435817718506,1.681070327758789,6.0,0.014486849308013916,0.003624419371287028,0.1236424669623375,1,4,0.0003956109285354614,0.00040112435817718506,0.08169723995785533,0.25,0.013922754546653772,0.7490196228027344,0.005952628795057535,37.12549666510589,0.9739937782287598,0.9643319845199585,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_049_g04_m01/perturbed_edited.png,0.0071007609367370605,0.0071007609367370605,phase2c_probe,0.18635696532393647,0.08169723995785533,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,5,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.01811276376247406,0.003368765115737915,0.29936566948890686,24201,0.020741581916809082,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.0003956109285354614,0.007103368639945984,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05,37,cand_037_g03_m05,0.027842342853546143,0.027842342853546143,True,0.020713359117507935,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.020713359117507935,4.718614397570491,0.18582083272035593,0.020713359117507935,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.006488320390666057,0.5882352590560913,0.001297017210163176,0.8826199769973755,43.75735425959142,0.9882619976997375,0.02535329759120941,0.025156185030937195,0.0001971125602722168,1.7873276472091675,6.0,0.01515960693359375,0.002951661745707194,0.130240336060524,5,4,0.001953408122062683,0.0001971125602722168,0.08045583912116981,0.25,0.01372179376180643,0.7490196228027344,0.005261020734906197,37.25178224790025,0.9744313359260559,1.1506211757659912,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_037_g03_m05/perturbed_edited.png,0.007128983736038208,0.007128983736038208,phase2c_probe,0.18582083272035593,0.08045583912116981,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,6,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.018369227647781372,0.003112301230430603,0.31382322311401367,24201,0.020713359117507935,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.001953408122062683,0.005545571446418762,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16,48,cand_048_g03_m16,0.027842342853546143,0.027842342853546143,True,0.020662248134613037,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.020662248134613037,4.76681050658226,0.1849445962417252,0.020662248134613037,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.005525243654214584,0.46666669845581055,0.00114352663513273,0.9151021242141724,45.15297131087456,0.9915102124214172,0.02535329759120941,0.02386099100112915,0.0014923065900802612,1.4956167936325073,6.0,0.014763519167900085,0.0033477495114008584,0.1035945937037468,16,4,0.002425938844680786,0.0014923065900802612,0.07858644465928372,0.25,0.013420920919192574,0.7333333492279053,0.005858104210346937,37.4443536529361,0.9750972390174866,0.831876277923584,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_048_g03_m16/perturbed_edited.png,0.0071800947189331055,0.0071800947189331055,phase2c_probe,0.1849445962417252,0.07858644465928372,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,7,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.01800362765789032,0.0034779012203216553,0.2637675404548645,24201,0.020662248134613037,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.002425938844680786,0.005073040723800659,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16,16,cand_016_g01_m16,0.027842342853546143,0.027842342853546143,True,0.019346505403518677,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0193'],0.019346505403518677,4.697934320196509,0.18109608947130945,0.019346505403518677,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.009510132475098925,0.6980392336845398,0.001834710012190044,0.8427778482437134,40.4362686669221,0.9842777848243713,0.02535329759120941,0.025068223476409912,0.0002850741147994995,2.860295295715332,6.0,0.015546088417371115,0.00256518026192983,0.17992852628231049,16,4,0.001664280891418457,0.0002850741147994995,0.10529618497264011,0.25,0.017857921708553093,0.7803921699523926,0.007653478533029556,34.963381707411415,0.9661355018615723,1.5082061290740967,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_016_g01_m16/perturbed_edited.png,0.008495837450027466,0.008495837450027466,phase2c_probe,0.18109608947130945,0.10529618497264011,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,8,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.019905760884284973,0.001575767993927002,0.5231105089187622,24201,0.019346505403518677,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,0.001664280891418457,0.005834698677062988,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15,31,cand_031_g02_m15,0.027842342853546143,0.027842342853546143,True,0.020244121551513672,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.020244121551513672,4.712578659877181,0.18093581834392133,0.020244121551513672,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.004577083355517943,0.38823527097702026,0.0009410384227521718,0.9245113134384155,46.78822356700201,0.9924511313438416,0.02535329759120941,0.024887412786483765,0.00046588480472564697,1.3715568780899048,6.0,0.014170140027999878,0.003941128651301066,0.09039921313524246,15,4,-0.001114681363105774,0.00046588480472564697,0.07593138372724781,0.25,0.0129390392597157,0.7019608020782471,0.005810950417071581,37.76195938786583,0.975824773311615,0.8136269450187683,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_031_g02_m15/perturbed_edited.png,0.007598221302032471,0.007598221302032471,phase2c_probe,0.18093581834392133,0.07593138372724781,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,9,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.018737688660621643,0.002743840217590332,0.24384096264839172,24201,0.020244121551513672,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,-0.001114681363105774,0.00861366093158722,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08,40,cand_040_g03_m08,0.027842342853546143,0.027842342853546143,True,0.01923280954360962,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0192'],0.01923280954360962,4.023799858987331,0.17418318031591928,0.01923280954360962,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.003354945461044468,0.23529411852359772,0.0007914972957223654,0.9455910921096802,49.48629070906496,0.994559109210968,0.02535329759120941,0.023931503295898438,0.0014217942953109741,1.2377196550369263,6.0,0.013447587688763937,0.004663680990537007,0.08815356343984604,8,4,-0.0015965104103088379,0.0014217942953109741,0.08128281586816932,0.25,0.01375341950220621,0.686274528503418,0.007008600980043411,37.231786202045015,0.9737308621406555,0.7969765663146973,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_ear_tight/strong/seed_00/candidates/cand_040_g03_m08/perturbed_edited.png,0.008609533309936523,0.008609533309936523,phase2c_probe,0.17418318031591928,0.08128281586816932,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,10,2,headphones_ear_tight,headphones_ear_tight,0.021481528878211975,0.01800777018070221,0.0034737586975097656,0.2109813094139099,24201,0.01923280954360962,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.9,0.007498979568481445,-0.0015965104103088379,0.009095489978790283,4
