best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,phase2c_part,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,region_variant,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,source_candidate_folder,source_candidate_name,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05,21,cand_021_g02_m05,0.027842342853546143,0.027842342853546143,True,0.031120657920837402,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.031120657920837402,5.329706473276019,0.2815707405672963,0.031120657920837402,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.009455993587537207,0.2823529541492462,0.0029712908435612917,0.8047786951065063,40.48585661948091,0.9804778695106506,0.02535329759120941,0.01691293716430664,0.008440360426902771,1.5317704677581787,6.0,0.010145053267478943,0.007966215411822,0.22341309487819672,5,4,-0.00542740523815155,0.002531901001930237,0.13042190880238835,0.25,0.020088308082669537,0.501960813999176,0.009944669902324677,33.9411327944557,0.9499313235282898,1.1597825288772583,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/perturbed_edited.png,-0.0032783150672912598,-0.0032783150672912598,phase2c_probe,0.2815707405672963,0.13042190880238835,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,1,3,headphones_full,headphones_full,0.021481528878211975,0.01894962787628174,0.002531901001930237,0.26050513982772827,24001,0.031120657920837402,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.00542740523815155,0.012926384806632996,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07,7,cand_007_g01_m07,0.027842342853546143,0.027842342853546143,True,0.030601054430007935,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030601054430007935,5.39354033395648,0.27846179408109584,0.030601054430007935,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011006051809584161,0.31372547149658203,0.0036592173855751753,0.7007781267166137,39.16736894268414,0.9700778126716614,0.02535329759120941,0.025277823209762573,7.547438144683838e-05,1.71005380153656,6.0,0.011287972331047058,0.006823296348253886,0.2874094545841217,7,4,-0.005835592746734619,7.547438144683838e-05,0.13461343456412944,0.25,0.020147855105761666,0.7372549176216125,0.01109608169645071,33.915423621041775,0.9459779858589172,1.3870809078216553,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/perturbed_edited.png,-0.002758711576461792,-0.002758711576461792,phase2c_probe,0.27846179408109584,0.13461343456412944,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,2,3,headphones_full,headphones_full,0.021481528878211975,0.01442168653011322,0.007059842348098755,0.2908254861831665,24001,0.030601054430007935,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.005835592746734619,0.013334572315216064,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07,55,cand_055_g04_m07,0.027842342853546143,0.027842342853546143,True,0.030164092779159546,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030164092779159546,5.134289080277085,0.27841615555084065,0.030164092779159546,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011981150986055738,0.29411768913269043,0.003975228872150183,0.6883320808410643,38.43002917669412,0.9688332080841064,0.02535329759120941,0.018091559410095215,0.007261738181114197,1.453942060470581,6.0,0.010400156180063883,0.0077111124992370605,0.2713216245174408,7,4,-0.007830068469047546,0.0005425512790679932,0.1484136532702571,0.25,0.0222679364422591,0.5411764979362488,0.01178684551268816,33.04640053876556,0.9406580924987793,1.204925298690796,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/perturbed_edited.png,-0.0023217499256134033,-0.0023217499256134033,phase2c_probe,0.27841615555084065,0.1484136532702571,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,3,3,headphones_full,headphones_full,0.021481528878211975,0.020938977599143982,0.0005425512790679932,0.24726906418800354,24001,0.030164092779159546,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.007830068469047546,0.015329048037528992,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14,30,cand_030_g02_m14,0.027842342853546143,0.027842342853546143,True,0.030170559883117676,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030170559883117676,4.921661708503962,0.27597584380574214,0.030170559883117676,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.012321134391382877,0.3333333730697632,0.0037131160497665405,0.7117948532104491,38.186986107656026,0.9711794853210449,0.02535329759120941,0.023826956748962402,0.0015263408422470093,1.7976454496383667,6.0,0.012903834382692972,0.005207434296607971,0.2724207043647766,14,4,-0.00395512580871582,0.0015263408422470093,0.13844545896320296,0.25,0.021245544690561176,0.5921568870544434,0.0104374336078763,33.45464260090554,0.9465367197990417,1.3974614143371582,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/perturbed_edited.png,-0.002328217029571533,-0.002328217029571533,phase2c_probe,0.27597584380574214,0.13844545896320296,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,4,3,headphones_full,headphones_full,0.021481528878211975,0.018839672207832336,0.0026418566703796387,0.3057219982147217,24001,0.030170559883117676,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.00395512580871582,0.011454105377197266,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08,56,cand_056_g04_m08,0.027842342853546143,0.027842342853546143,True,0.029984652996063232,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.029984652996063232,5.023046864196658,0.27505880654488635,0.029984652996063232,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.01220550110286691,0.3490196466445923,0.0040132757276296616,0.6978443861007689,38.26888771413286,0.9697844386100769,0.02535329759120941,0.019205749034881592,0.00614754855632782,1.8467791080474854,6.0,0.011989141503969828,0.006122127175331116,0.3046839237213135,8,4,0.0025676190853118896,0.004931360483169556,0.14072633030552184,0.25,0.02126239300404617,0.5176470875740051,0.010536196641623974,33.44775717634163,0.9443232417106628,1.445265293121338,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/perturbed_edited.png,-0.00214231014251709,-0.00214231014251709,phase2c_probe,0.27505880654488635,0.14072633030552184,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,5,3,headphones_full,headphones_full,0.021481528878211975,0.014194056391716003,0.007287472486495972,0.31407806277275085,24001,0.029984652996063232,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,0.0025676190853118896,0.004931360483169556,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11,43,cand_043_g03_m11,0.027842342853546143,0.027842342853546143,True,0.027525722980499268,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.027525722980499268,5.295548791065812,0.2558863813978105,0.027525722980499268,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010899843444963283,0.2705882489681244,0.003634413704276085,0.7294300794601439,39.2515947961909,0.9729430079460144,0.02535329759120941,0.01759052276611328,0.00776277482509613,1.4768002033233643,6.0,0.010236794749895731,0.007874473929405212,0.2559453547000885,11,4,-0.0077728331089019775,0.000588834285736084,0.14272239021526545,0.25,0.021493544707861467,0.5568627715110779,0.01040038000792265,33.353839098161195,0.9432517886161804,1.185856580734253,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_043_g03_m11/perturbed_edited.png,0.000316619873046875,0.000316619873046875,phase2c_probe,0.2558863813978105,0.14272239021526545,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,6,3,headphones_full,headphones_full,0.021481528878211975,0.02089269459247589,0.000588834285736084,0.2511564791202545,24001,0.027525722980499268,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.0077728331089019775,0.015271812677383423,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16,64,cand_064_g04_m16,0.027842342853546143,0.027842342853546143,True,0.02563658356666565,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02563658356666565,4.947812935337424,0.24301250482056186,0.02563658356666565,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.013556049385692475,0.364705890417099,0.004548903554677963,0.601147174835205,37.35733715329594,0.9601147174835205,0.02535329759120941,0.023032397031784058,0.002320900559425354,1.8235900402069092,6.0,0.014212230841318766,0.0038990378379821777,0.3524334728717804,16,4,0.0007104873657226562,0.002320900559425354,0.15167934514894663,0.25,0.022732230071759667,0.5372549295425415,0.010759378783404827,32.867159142648184,0.939249575138092,1.5058398246765137,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_064_g04_m16/perturbed_edited.png,0.002205759286880493,0.002205759286880493,phase2c_probe,0.24301250482056186,0.15167934514894663,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,7,3,headphones_full,headphones_full,0.021481528878211975,0.018893808126449585,0.00258772075176239,0.3101343512535095,24001,0.02563658356666565,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,0.0007104873657226562,0.006788492202758789,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01,49,cand_049_g04_m01,0.027842342853546143,0.027842342853546143,True,0.025355100631713867,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.025355100631713867,5.247126052156091,0.2418723202442572,0.025355100631713867,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.01534243782135406,0.3607843518257141,0.005273741204291582,0.5231992006301879,36.28211256231133,0.9523199200630188,0.02535329759120941,0.01835000514984131,0.007003292441368103,1.8947350978851318,6.0,0.010605295499165853,0.007505973180135091,0.3833932876586914,1,4,-0.002237483859062195,0.00577816367149353,0.15612606076218505,0.25,0.02312272257560943,0.6627451181411743,0.01058089081197977,32.719220628256444,0.9363648295402527,1.5837479829788208,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_049_g04_m01/perturbed_edited.png,0.0024872422218322754,0.0024872422218322754,phase2c_probe,0.2418723202442572,0.15612606076218505,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,8,3,headphones_full,headphones_full,0.021481528878211975,0.015703365206718445,0.00577816367149353,0.3222338557243347,24001,0.025355100631713867,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.002237483859062195,0.00973646342754364,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12,28,cand_028_g02_m12,0.027842342853546143,0.027842342853546143,True,0.024749815464019775,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.024749815464019775,5.4391127564013,0.23953825846977694,0.024749815464019775,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.016915646936118134,0.541176438331604,0.005889803636819124,0.4206857681274413,35.43422776075556,0.9420685768127441,0.02535329759120941,0.021906942129135132,0.00344635546207428,2.184147357940674,6.0,0.011742860078811646,0.006368408600489299,0.3891497850418091,12,4,-0.0008364170789718628,0.00344635546207428,0.1661589390304749,0.25,0.02411312476463777,0.5490196347236633,0.011097279377281666,32.35493013495946,0.9302935600280762,1.6830034255981445,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_028_g02_m12/perturbed_edited.png,0.003092527389526367,0.003092527389526367,phase2c_probe,0.23953825846977694,0.1661589390304749,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,9,3,headphones_full,headphones_full,0.021481528878211975,0.014158055186271667,0.007323473691940308,0.3761862516403198,24001,0.024749815464019775,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.0008364170789718628,0.008335396647453308,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04,52,cand_052_g04_m04,0.027842342853546143,0.027842342853546143,True,0.025040149688720703,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.025040149688720703,5.106423893943429,0.2383483536806939,0.025040149688720703,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.01435305028041818,0.6000000238418579,0.004793883766978979,0.5583325624465941,36.86111587521227,0.9558332562446594,0.02535329759120941,0.0234529972076416,0.00190030038356781,1.8937246799468994,6.0,0.013142595688501993,0.00496867299079895,0.390006422996521,4,4,-0.0006173849105834961,0.00190030038356781,0.15210862468371317,0.25,0.022881496724211983,0.7607843279838562,0.010271321050822735,32.810311417679735,0.9394173622131348,1.6563371419906616,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_052_g04_m04/perturbed_edited.png,0.0028021931648254395,0.0028021931648254395,phase2c_probe,0.2383483536806939,0.15210862468371317,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,10,3,headphones_full,headphones_full,0.021481528878211975,0.016592174768447876,0.004889354109764099,0.32206201553344727,24001,0.025040149688720703,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.9,0.007498979568481445,-0.0006173849105834961,0.008116364479064941,4
