best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,phase2c_part,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,region_variant,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,source_candidate_folder,source_candidate_name,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11,43,cand_043_g03_m11,0.027842342853546143,0.027842342853546143,True,0.029248476028442383,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.029248476028442383,5.081585969775915,0.2707061100311042,0.029248476028442383,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.014923537916718676,0.6392157077789307,0.004224395379424095,0.7250578233173915,36.52256413302366,0.9615080952644348,0.02535329759120941,0.020994126796722412,0.0043591707944869995,2.8105008602142334,8.0,0.012271081407864889,0.005840187271436055,0.4292539060115814,11,4,-0.001549750566482544,0.004112660884857178,0.1468732072142604,0.25,0.02271420541474826,0.7607843279838562,0.010094132274389267,32.87404902028537,0.9439836144447327,1.981981635093689,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_043_g03_m11/perturbed_edited.png,-0.0014061331748962402,-0.0014061331748962402,phase2c_probe,0.2707061100311042,0.1468732072142604,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,1,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.017368867993354797,0.004112660884857178,0.3584822118282318,24102,0.029248476028442383,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.001549750566482544,0.00904873013496399,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01,33,cand_033_g03_m01,0.027842342853546143,0.027842342853546143,True,0.027451366186141968,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.027451366186141968,4.882999204099178,0.25084456326849064,0.027451366186141968,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010607552700692548,0.6352940797805786,0.003138319356366992,0.8099144015993391,39.48769603767876,0.9733880162239075,0.02535329759120941,0.025187671184539795,0.0001656264066696167,2.3100979328155518,8.0,0.014224896828333536,0.0038863718509674072,0.282002717256546,1,4,0.004137739539146423,0.0001656264066696167,0.12493453511741956,0.25,0.019594709299870332,0.7607843279838562,0.008693971671164036,34.15722350352742,0.9534443020820618,1.3599112033843994,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_033_g03_m01/perturbed_edited.png,0.0003909766674041748,0.0003909766674041748,phase2c_probe,0.25084456326849064,0.12493453511741956,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,2,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.013349279761314392,0.008132249116897583,0.29465535283088684,24102,0.027451366186141968,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,0.004137739539146423,0.003361240029335022,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07,39,cand_039_g03_m07,0.027842342853546143,0.027842342853546143,True,0.025457024574279785,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.025457024574279785,5.169133439660072,0.23422463236741162,0.025457024574279785,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010509733623050237,0.5137255191802979,0.002973923459649086,0.819123319217137,39.56816582692412,0.9746772646903992,0.02535329759120941,0.021541506052017212,0.0038117915391921997,2.3857076168060303,8.0,0.011777852972348532,0.006333415706952413,0.2862623631954193,7,4,-0.0006467700004577637,0.0038117915391921997,0.12227374309269332,0.25,0.019445776924410817,0.7607843279838562,0.00916463416069746,34.223494012794845,0.95550936460495,1.6366016864776611,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_039_g03_m07/perturbed_edited.png,0.0023853182792663574,0.0023853182792663574,phase2c_probe,0.23422463236741162,0.12227374309269332,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,3,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.014438822865486145,0.00704270601272583,0.30429941415786743,24102,0.025457024574279785,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.0006467700004577637,0.008145749568939209,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13,45,cand_045_g03_m13,0.027842342853546143,0.027842342853546143,True,0.0245705246925354,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.0245705246925354,5.273111488670111,0.2302480857560507,0.0245705246925354,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011250152131548743,0.7058823704719543,0.0032291433308273554,0.8104457344327655,38.976832094260516,0.9734624028205872,0.02535329759120941,0.02388828992843628,0.0014650076627731323,2.147495746612549,8.0,0.013215730587641398,0.004895538091659546,0.2801652252674103,13,4,-0.004292279481887817,0.0014303475618362427,0.13473555286306999,0.25,0.02137242962812101,0.7019608020782471,0.008798972703516483,33.40292208446086,0.9507541656494141,1.4575663805007935,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_045_g03_m13/perturbed_edited.png,0.003271818161010742,0.003271818161010742,phase2c_probe,0.2302480857560507,0.13473555286306999,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,4,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.020051181316375732,0.0014303475618362427,0.27391526103019714,24102,0.0245705246925354,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.004292279481887817,0.011791259050369263,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02,2,cand_002_g01_m02,0.027842342853546143,0.027842342853546143,True,0.02109670639038086,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02109670639038086,5.723866684362292,0.20223720029554554,0.02109670639038086,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011586855190142005,0.5568627119064331,0.0033922679722309113,0.8044575963701521,38.72068841428246,0.9726240634918213,0.02535329759120941,0.02059084177017212,0.0047624558210372925,2.569535970687866,8.0,0.012651309370994568,0.005459959308306376,0.2988111972808838,2,4,-0.0033898204565048218,0.0007286220788955688,0.13385419668999465,0.25,0.02179494157991596,0.572549045085907,0.008388672024011612,33.23288581492102,0.9533255696296692,1.623647928237915,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_002_g01_m02/perturbed_edited.png,0.006745636463165283,0.006745636463165283,phase2c_probe,0.20223720029554554,0.13385419668999465,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,5,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.020752906799316406,0.0007286220788955688,0.3277469277381897,24102,0.02109670639038086,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.0033898204565048218,0.010888800024986267,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01,49,cand_049_g04_m01,0.027842342853546143,0.027842342853546143,True,0.020516932010650635,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.020516932010650635,4.887572692707181,0.1970830583073882,0.020516932010650635,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011649650135913278,0.7215686440467834,0.0033336468040943146,0.7952627284186227,38.67374234481737,0.9713367819786072,0.02535329759120941,0.025139719247817993,0.00021357834339141846,2.4042837619781494,8.0,0.01398758590221405,0.004123682777086894,0.3080255687236786,1,4,-0.002019926905632019,0.00021357834339141846,0.1317904088887325,0.25,0.021192180464485066,0.7098039388656616,0.008821165189146996,33.476487128195046,0.9529783129692078,1.643451452255249,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_049_g04_m01/perturbed_edited.png,0.007325410842895508,0.007325410842895508,phase2c_probe,0.1970830583073882,0.1317904088887325,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,6,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.018842965364456177,0.0026385635137557983,0.30666884779930115,24102,0.020516932010650635,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.002019926905632019,0.009518906474113464,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10,42,cand_042_g03_m10,0.027842342853546143,0.027842342853546143,True,0.019862443208694458,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0199'],0.019862443208694458,5.493898348882794,0.1919837994972507,0.019862443208694458,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011585256948944399,0.7686274647712708,0.0033365485724061728,0.7972948210580009,38.72188659134946,0.9716212749481201,0.02535329759120941,0.02331659197807312,0.0020367056131362915,2.071629285812378,8.0,0.010668769478797913,0.007442499200503032,0.28804296255111694,10,4,-0.0030289888381958008,0.0020367056131362915,0.13233701531078007,0.25,0.02147137657797731,0.7607843279838562,0.009006260894238949,33.36280222161074,0.9535484910011292,1.4495584964752197,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_042_g03_m10/perturbed_edited.png,0.007979899644851685,0.007979899644851685,phase2c_probe,0.1919837994972507,0.13233701531078007,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,7,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.011718705296516418,0.009762823581695557,0.2642384171485901,24102,0.019862443208694458,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.0030289888381958008,0.010527968406677246,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08,56,cand_056_g04_m08,0.027842342853546143,0.027842342853546143,True,0.018603533506393433,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0186'],0.018603533506393433,4.970101984217763,0.18335679302280739,0.018603533506393433,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.012752521547979373,0.7450980544090271,0.003723732428625226,0.7656571013586861,37.88807867934561,0.9671919941902161,0.02535329759120941,0.01922893524169922,0.006124362349510193,2.4811818599700928,8.0,0.010184034705162048,0.007927233974138895,0.353288471698761,8,4,-0.009722664952278137,0.0004356950521469116,0.1381140998866397,0.25,0.021914915538485787,0.7411764860153198,0.0085296044126153,33.185203976121265,0.9495455622673035,1.7554396390914917,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_056_g04_m08/perturbed_edited.png,0.00923880934715271,0.00923880934715271,phase2c_probe,0.18335679302280739,0.1381140998866397,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,8,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.021045833826065063,0.0004356950521469116,0.31647729873657227,24102,0.018603533506393433,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.009722664952278137,0.017221644520759583,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13,13,cand_013_g01_m13,0.027842342853546143,0.027842342853546143,True,0.017111539840698242,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0171'],0.017111539840698242,4.9854616317898035,0.17336331238722993,0.017111539840698242,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.013653848143773592,0.4941176474094391,0.003766472451388836,0.7580579348972866,37.2948986324229,0.9661281108856201,0.02535329759120941,0.02435481548309326,0.00099848210811615,2.887727737426758,8.0,0.011164347330729166,0.006946921348571777,0.3735853433609009,13,4,-0.005979061126708984,0.00099848210811615,0.145883974646576,0.25,0.023828729295494094,0.7137255072593689,0.00970398634672165,32.457982329461295,0.9494309425354004,2.093461751937866,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_013_g01_m13/perturbed_edited.png,0.0107308030128479,0.0107308030128479,phase2c_probe,0.17336331238722993,0.145883974646576,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,9,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.015117287635803223,0.0063642412424087524,0.3683326244354248,24102,0.017111539840698242,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,-0.005979061126708984,0.01347804069519043,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10,10,cand_010_g01_m10,0.027842342853546143,0.027842342853546143,True,0.018274635076522827,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0183'],0.018274635076522827,5.329080976545811,0.17048657157171787,0.018274635076522827,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.00731352954922159,0.37254905700683594,0.002082973951473832,0.8991340398788452,42.717459591330275,0.9858787655830383,0.02535329759120941,0.022487014532089233,0.0028662830591201782,1.7556829452514648,8.0,0.013645713527997335,0.004465555151303609,0.16709531843662262,10,4,0.0014830529689788818,0.0028662830591201782,0.09715796383814101,0.25,0.015415804765115395,0.7372549176216125,0.0070626153610646725,36.240675969607814,0.9645052552223206,0.8963630199432373,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/existence_probe/seed_00/candidates/cand_010_g01_m10/perturbed_edited.png,0.009567707777023315,0.009567707777023315,phase2c_probe,0.17048657157171787,0.09715796383814101,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,10,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.01696707308292389,0.004514455795288086,0.22393915057182312,24102,0.018274635076522827,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_085_g06_m05,cand_085_g06_m05,0.86,0.007498979568481445,0.0014830529689788818,0.0060159265995025635,4
