best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,phase2c_part,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,region_variant,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,source_candidate_folder,source_candidate_name,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04,4,cand_004_g01_m04,0.027842342853546143,0.027842342853546143,True,0.01981586217880249,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0198'],0.01981586217880249,5.569880802184343,0.18501429063783373,0.01981586217880249,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010071358159564394,0.29411762952804565,0.002126860897988081,0.8688255037580218,39.93823918588603,0.981635570526123,0.02535329759120941,0.027261540293693542,-0.0019082427024841309,1.439884901046753,8.0,0.017021939158439636,0.0010893295208613079,0.1016751080751419,4,4,0.003267526626586914,-0.0019082427024841309,0.10594957282965524,0.25,0.016941187805993217,0.48235297203063965,0.00695062754675746,35.42112286062134,0.9618151783943176,0.840557336807251,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_004_g01_m04/perturbed_edited.png,0.008026480674743652,0.008026480674743652,phase2c_probe,0.18501429063783373,0.10594957282965524,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,1,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020536750555038452,0.000944778323173523,0.2638676166534424,24302,0.01981586217880249,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.003267526626586914,0.004231452941894531,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03,3,cand_003_g01_m03,0.027842342853546143,0.027842342853546143,True,0.019015341997146606,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0190'],0.019015341997146606,5.173317825421691,0.1849259411357983,0.019015341997146606,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.015296136925579549,0.4392157196998596,0.0035630324855446815,0.6939165251595634,36.308364748015535,0.9571483135223389,0.02535329759120941,0.024849459528923035,0.000503838062286377,4.613399028778076,8.0,0.01662511130174001,0.0014861573775609334,0.34307801723480225,3,4,0.003958210349082947,0.0004138648509979248,0.13121282063450185,0.25,0.01997573425999723,0.5098039507865906,0.007269063964486122,33.98994496197726,0.9486901164054871,2.7613284587860107,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_003_g01_m03/perturbed_edited.png,0.008827000856399536,0.008827000856399536,phase2c_probe,0.1849259411357983,0.13121282063450185,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,2,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.02106766402721405,0.0004138648509979248,0.5884966850280762,24302,0.019015341997146606,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.003958210349082947,0.0035407692193984985,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05,5,cand_005_g01_m05,0.027842342853546143,0.027842342853546143,True,0.01866811513900757,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0187'],0.01866811513900757,5.1056124195456505,0.18459880316936,0.01866811513900757,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.016639862514598373,0.4431372880935669,0.004015444777905941,0.6518360716956003,35.57700532700919,0.951257050037384,0.02535329759120941,0.023669928312301636,0.0016833692789077759,3.877382516860962,8.0,0.0159043421347936,0.0022069265445073447,0.3828223943710327,5,4,0.0036261677742004395,0.001064598560333252,0.14101552822919783,0.25,0.020759090430369217,0.5098039507865906,0.007899753749370575,33.65583358460787,0.942020833492279,3.0364763736724854,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_005_g01_m05/perturbed_edited.png,0.009174227714538574,0.009174227714538574,phase2c_probe,0.18459880316936,0.14101552822919783,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,3,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020416930317878723,0.001064598560333252,0.49456408619880676,24302,0.01866811513900757,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.0036261677742004395,0.003872811794281006,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12,60,cand_060_g04_m12,0.027842342853546143,0.027842342853546143,True,0.019303470849990845,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0193'],0.019303470849990845,5.53090163320303,0.18136775710419026,0.019303470849990845,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.009229264090224655,0.2196078598499298,0.0021931666415184736,0.8492070606776646,40.69665853483655,0.978888988494873,0.02535329759120941,0.026665374636650085,-0.0013120770454406738,1.2691576480865479,8.0,0.015521496534347534,0.0025897721449534097,0.10815414041280746,12,4,-0.001837417483329773,-0.0013120770454406738,0.10775996121705399,0.25,0.01668505587414112,0.48235297203063965,0.007861217483878136,35.55344669323077,0.9589802622795105,0.8534346222877502,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_060_g04_m12/perturbed_edited.png,0.008538872003555298,0.008538872003555298,phase2c_probe,0.18136775710419026,0.10775996121705399,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,4,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.02173653244972229,-0.00025500357151031494,0.25243234634399414,24302,0.019303470849990845,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,-0.001837417483329773,0.009336397051811218,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06,6,cand_006_g01_m06,0.027842342853546143,0.027842342853546143,True,0.018984586000442505,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0190'],0.018984586000442505,5.435110284015536,0.18065220936711987,0.018984586000442505,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011662003092935554,0.27843135595321655,0.002834299812093377,0.771368077823094,38.6645369546729,0.9679915308952332,0.02535329759120941,0.025260090827941895,9.320676326751709e-05,2.130948781967163,8.0,0.01680983603000641,0.0013014326492945354,0.16808995604515076,6,4,0.004121631383895874,9.320676326751709e-05,0.11510208545431931,0.25,0.017432355131470758,0.4784314036369324,0.008126956410706043,35.17287870472306,0.9546273350715637,1.2667901515960693,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_006_g01_m06/perturbed_edited.png,0.008857756853103638,0.008857756853103638,phase2c_probe,0.18065220936711987,0.11510208545431931,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,5,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.021047785878181458,0.0004337430000305176,0.27180469036102295,24302,0.018984586000442505,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.004121631383895874,0.0033773481845855713,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09,57,cand_057_g04_m09,0.027842342853546143,0.027842342853546143,True,0.01919776201248169,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0192'],0.01919776201248169,5.457281060516834,0.18042862134389986,0.01919776201248169,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.008962009560180237,0.20784315466880798,0.002202357165515423,0.8380729130336216,40.95189194282392,0.977330207824707,0.02535329759120941,0.02592390775680542,-0.0005706101655960083,1.2422257661819458,8.0,0.016355047623316448,0.001756221055984497,0.12067501991987228,9,4,0.0026112645864486694,-0.0005706101655960083,0.10738610097618545,0.25,0.016359564832974585,0.48235297203063965,0.007569191511720419,35.7245650562663,0.9580521583557129,0.9623132348060608,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_057_g04_m09/perturbed_edited.png,0.008644580841064453,0.008644580841064453,phase2c_probe,0.18042862134389986,0.10738610097618545,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,6,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.02052997052669525,0.0009515583515167236,0.22399967908859253,24302,0.01919776201248169,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.0026112645864486694,0.004887714982032776,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15,15,cand_015_g01_m15,0.027842342853546143,0.027842342853546143,True,0.018037647008895874,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0180'],0.018037647008895874,5.539398096501827,0.17875170382281597,0.018037647008895874,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.016539730249884598,0.4549019932746887,0.003790472634136677,0.6811036552701678,35.629431554607685,0.9553545117378235,0.02535329759120941,0.024743348360061646,0.0006099492311477661,2.773387908935547,8.0,0.01655520995457967,0.0015560587247212727,0.28062090277671814,15,4,0.004513412714004517,0.0006099492311477661,0.1378021110065959,0.25,0.02088124724646861,0.49803924560546875,0.007988621480762959,33.60487128573133,0.9457228779792786,2.231318235397339,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_015_g01_m15/perturbed_edited.png,0.009804695844650269,0.009804695844650269,phase2c_probe,0.17875170382281597,0.1378021110065959,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,7,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.02040886878967285,0.0010726600885391235,0.3537484407424927,24302,0.018037647008895874,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.004513412714004517,0.0029855668544769287,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06,38,cand_038_g03_m06,0.027842342853546143,0.027842342853546143,True,0.018675625324249268,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0187'],0.018675625324249268,5.500362614169717,0.1765758167589292,0.018675625324249268,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.00912666579897215,0.21568629145622253,0.002235741587355733,0.8313971928187779,40.79375704422263,0.9763956069946289,0.02535329759120941,0.02704484760761261,-0.0016915500164031982,1.25404691696167,8.0,0.016699592272440594,0.0014116764068603516,0.12123487889766693,6,4,0.002033531665802002,-0.0016915500164031982,0.10868325665974027,0.25,0.016529999264536813,0.48235297203063965,0.007741471752524376,35.63454331502914,0.957436740398407,0.9676247835159302,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_038_g03_m06/perturbed_edited.png,0.009166717529296875,0.009166717529296875,phase2c_probe,0.1765758167589292,0.10868325665974027,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,8,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.021020397543907166,0.00046113133430480957,0.19764146208763123,24302,0.018675625324249268,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.002033531665802002,0.005465447902679443,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08,56,cand_056_g04_m08,0.027842342853546143,0.027842342853546143,True,0.018760859966278076,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0188'],0.018760859966278076,5.247267249971628,0.1752100084298082,0.018760859966278076,4,0.0,0.75,combined_tps_dct,False,False,0.0,3.0,0.008730234937315834,0.2745097875595093,0.0020779126789420843,0.8692721128463745,41.179481378793604,0.9816980957984924,0.02535329759120941,0.026193693280220032,-0.0008403956890106201,1.4589533805847168,8.0,0.01697586476802826,0.0011354039112726848,0.130706787109375,8,4,0.004490703344345093,-0.0008403956890106201,0.10049251479833433,0.25,0.01604270379476028,0.4901961088180542,0.006692619528621435,35.894448700853665,0.9636783003807068,1.0811389684677124,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_056_g04_m08/perturbed_edited.png,0.009081482887268066,0.009081482887268066,phase2c_probe,0.1752100084298082,0.10049251479833433,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,9,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020243197679519653,0.0012383311986923218,0.23391452431678772,24302,0.018760859966278076,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.004490703344345093,0.0030082762241363525,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02,34,cand_034_g03_m02,0.027842342853546143,0.027842342853546143,True,0.01784852147102356,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,['semantic_drop_small:0.0178'],0.01784852147102356,5.388680187985301,0.17211206641736138,0.01784852147102356,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.012451332572760187,0.35294121503829956,0.0029832327272742987,0.7585126331874302,38.095683335980375,0.9661917686462402,0.02535329759120941,0.024708330631256104,0.0006449669599533081,2.843524217605591,8.0,0.01788566509882609,0.00022560358047485352,0.20716291666030884,2,4,0.008191779255867004,-0.0006927996873855591,0.11729557859669157,0.25,0.0179524460131179,0.5058823823928833,0.007957474328577518,34.917527412322485,0.95451420545578,1.575182318687439,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/existence_probe/seed_00/candidates/cand_034_g03_m02/perturbed_edited.png,0.009993821382522583,0.009993821382522583,phase2c_probe,0.17211206641736138,0.11729557859669157,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,10,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020756885409355164,0.0007246434688568115,0.3632880449295044,24302,0.01784852147102356,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.86,0.007498979568481445,0.008191779255867004,-0.0006927996873855591,4
