best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,phase2c_part,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,region_variant,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,source_candidate_folder,source_candidate_name,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12,60,cand_060_g04_m12,0.027842342853546143,0.027842342853546143,True,0.02420222759246826,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02420222759246826,5.062108799815178,0.22520540804997724,0.02420222759246826,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.013156965525949811,0.3215686082839966,0.0031424930784851313,0.6316784620285033,37.61688526504376,0.9631678462028503,0.02535329759120941,0.025842100381851196,-0.0004888027906417847,2.6019556522369385,6.0,0.015650828679402668,0.002460439999898275,0.1908615082502365,12,4,0.00036503374576568604,-0.0004888027906417847,0.12635034924092453,0.25,0.019037486626065175,0.4705882668495178,0.008546852506697178,34.407807774999185,0.9497995972633362,1.4590883255004883,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_060_g04_m12/perturbed_edited.png,0.003640115261077881,0.003640115261077881,phase2c_probe,0.22520540804997724,0.12635034924092453,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,1,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020745351910591125,0.0007361769676208496,0.5107282400131226,24301,0.02420222759246826,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,0.00036503374576568604,0.007133945822715759,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15,47,cand_047_g03_m15,0.027842342853546143,0.027842342853546143,True,0.024110496044158936,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.024110496044158936,5.193104233592749,0.22218823408377528,0.024110496044158936,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010636151407287981,0.25882354378700256,0.0025320162530988455,0.7281342744827269,39.46430978092436,0.9728134274482727,0.02535329759120941,0.026761651039123535,-0.0014083534479141235,2.63118052482605,6.0,0.0157661239306132,0.002345144748687744,0.16390641033649445,15,4,-0.0005901604890823364,-0.0014083534479141235,0.1172170629220152,0.25,0.01771664594900966,0.4784314036369324,0.00813507754355669,35.0323698743878,0.9536495208740234,1.285007357597351,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_047_g03_m15/perturbed_edited.png,0.003731846809387207,0.003731846809387207,phase2c_probe,0.22218823408377528,0.1172170629220152,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,2,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.0211268812417984,0.0003546476364135742,0.48311278223991394,24301,0.024110496044158936,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,-0.0005901604890823364,0.008089140057563782,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14,62,cand_062_g04_m14,0.027842342853546143,0.027842342853546143,True,0.02412554621696472,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02412554621696472,5.198614690452814,0.22007297909240706,0.02412554621696472,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.00948479197019971,0.270588219165802,0.0021563859190791845,0.7814971208572388,40.45944380090461,0.9781497120857239,0.02535329759120941,0.026306509971618652,-0.0009532123804092407,1.6623471975326538,6.0,0.014994000395139059,0.0031172682841618857,0.12049904465675354,14,4,-0.0026750564575195312,-0.0009532123804092407,0.10827443742675716,0.25,0.01680842971782668,0.4745098352432251,0.007423410192131996,35.489457149101455,0.9589592814445496,1.0458993911743164,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_062_g04_m14/perturbed_edited.png,0.003716796636581421,0.003716796636581421,phase2c_probe,0.22007297909240706,0.10827443742675716,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,3,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.021350547671318054,0.0001309812068939209,0.42549967765808105,24301,0.02412554621696472,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,-0.0026750564575195312,0.010174036026000977,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15,63,cand_063_g04_m15,0.027842342853546143,0.027842342853546143,True,0.02319777011871338,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02319777011871338,5.660795314237475,0.21468189444223473,0.02319777011871338,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011103068765700304,0.31372547149658203,0.0025834976695477962,0.7225326299667357,39.09113940838486,0.9722532629966736,0.02535329759120941,0.026101604104042053,-0.0007483065128326416,2.5051825046539307,6.0,0.014089147249857584,0.004022121429443359,0.17296895384788513,15,4,-0.004262179136276245,-0.0007483065128326416,0.11639893397011082,0.25,0.017847106715832454,0.46274513006210327,0.00787243153899908,34.96864359013361,0.954989492893219,1.4593207836151123,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_063_g04_m15/perturbed_edited.png,0.004644572734832764,0.004644572734832764,phase2c_probe,0.21468189444223473,0.11639893397011082,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,4,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020428016781806946,0.0010535120964050293,0.5032050609588623,24301,0.02319777011871338,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,-0.004262179136276245,0.01176115870475769,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08,8,cand_008_g01_m08,0.027842342853546143,0.027842342853546143,True,0.02247670292854309,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02247670292854309,5.411491129547358,0.213299883252022,0.02247670292854309,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.014084282307752787,0.3333333432674408,0.0034183075185865164,0.5781397819519042,37.02530556884128,0.9578139781951904,0.02535329759120941,0.02680601179599762,-0.001452714204788208,2.7310054302215576,6.0,0.015628332893053692,0.0024829357862472534,0.2944316267967224,8,4,0.00027948617935180664,-0.001452714204788208,0.13394503929470913,0.25,0.01960479999148582,0.4705882668495178,0.009042508900165558,34.15275168042227,0.9444741606712341,2.302800178527832,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_008_g01_m08/perturbed_edited.png,0.005365639925003052,0.005365639925003052,phase2c_probe,0.213299883252022,0.13394503929470913,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,5,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.019799500703811646,0.0016820281744003296,0.6018219590187073,24301,0.02247670292854309,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,0.00027948617935180664,0.007219493389129639,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04,36,cand_036_g03_m04,0.027842342853546143,0.027842342853546143,True,0.022015899419784546,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.022015899419784546,5.505437768995762,0.20478614640176449,0.022015899419784546,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010813751383800285,0.23529411852359772,0.0025747311301529408,0.7264748811721801,39.32047238798544,0.972647488117218,0.02535329759120941,0.02535088360309601,2.4139881134033203e-06,1.6820068359375,6.0,0.014708131551742554,0.00340313712755839,0.13328446447849274,4,4,-0.0023077428340911865,2.4139881134033203e-06,0.11463580417395246,0.25,0.017623046755196183,0.4745098352432251,0.008190504275262356,35.07838013121125,0.9558563828468323,1.0631635189056396,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_036_g03_m04/perturbed_edited.png,0.005826443433761597,0.005826443433761597,phase2c_probe,0.20478614640176449,0.11463580417395246,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,6,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.02108125388622284,0.00040027499198913574,0.40903881192207336,24301,0.022015899419784546,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,-0.0023077428340911865,0.009806722402572632,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02,18,cand_018_g02_m02,0.027842342853546143,0.027842342853546143,True,0.02159973978996277,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02159973978996277,5.069409441202879,0.2026422810227984,0.02159973978996277,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011787558989889847,0.30980390310287476,0.0027580016758292913,0.6938258409500121,38.57152241714822,0.9693825840950012,0.02535329759120941,0.02648119628429413,-0.0011278986930847168,3.0084316730499268,6.0,0.015535970528920492,0.0025752981503804526,0.19641588628292084,2,4,-0.0006933808326721191,-0.0011278986930847168,0.11937745081238506,0.25,0.018151168194543713,0.4705882668495178,0.007851497270166874,34.821908377716866,0.9532272219657898,1.6064995527267456,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_018_g02_m02/perturbed_edited.png,0.006242603063583374,0.006242603063583374,phase2c_probe,0.2026422810227984,0.11937745081238506,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,7,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.020820096135139465,0.0006614327430725098,0.5116380453109741,24301,0.02159973978996277,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,-0.0006933808326721191,0.008192360401153564,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02,50,cand_050_g04_m02,0.027842342853546143,0.027842342853546143,True,0.02106696367263794,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.02106696367263794,5.096350856125355,0.20251138874481206,0.02106696367263794,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.016073752815984044,0.36862748861312866,0.0038102546241134405,0.5358473062515258,35.877654291743845,0.9535847306251526,0.02535329759120941,0.0244283527135849,0.0009249448776245117,2.2778544425964355,6.0,0.015920018156369526,0.002191250522931417,0.2099902331829071,2,4,0.003917604684829712,0.0009249448776245117,0.13590271745483423,0.25,0.020336631621818604,0.4705882668495178,0.008525222539901733,33.83441956238413,0.9454438090324402,1.5870137214660645,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_050_g04_m02/perturbed_edited.png,0.006775379180908203,0.006775379180908203,phase2c_probe,0.20251138874481206,0.13590271745483423,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,8,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.01941409707069397,0.0020674318075180054,0.3873901963233948,24301,0.02106696367263794,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,0.003917604684829712,0.0035813748836517334,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07,55,cand_055_g04_m07,0.027842342853546143,0.027842342853546143,True,0.021848618984222412,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.021848618984222412,5.657392382621765,0.20169287210514533,0.021848618984222412,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.009850729096641087,0.270588219165802,0.002240878064185381,0.7705072164535522,40.13063248460688,0.9770507216453552,0.02535329759120941,0.024177372455596924,0.0011759251356124878,1.6306109428405762,6.0,0.015289033452669779,0.0028222352266311646,0.12575054168701172,7,4,0.00012958049774169922,-7.861852645874023e-05,0.10761568092546418,0.25,0.016802557168507464,0.4745098352432251,0.00754348561167717,35.4924923658877,0.9595945477485657,1.0740485191345215,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_055_g04_m07/perturbed_edited.png,0.0059937238693237305,0.0059937238693237305,phase2c_probe,0.20169287210514533,0.10761568092546418,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,9,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.021560147404670715,-7.861852645874023e-05,0.41808876395225525,24301,0.021848618984222412,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,0.00012958049774169922,0.007369399070739746,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15,31,cand_031_g02_m15,0.027842342853546143,0.027842342853546143,True,0.020965546369552612,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.020965546369552612,5.818092914298177,0.1961529703050592,0.020965546369552612,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011292188855609295,0.2392157018184662,0.0027062606532126665,0.7109031677246093,38.94443734259034,0.9710903167724609,0.02535329759120941,0.024551361799240112,0.0008019357919692993,1.313570499420166,6.0,0.015240053335825602,0.002871215343475342,0.1201016902923584,15,4,8.803606033325195e-05,0.0004007667303085327,0.11371439739455323,0.25,0.017466664424512637,0.4784314036369324,0.007964219897985458,35.15580046970557,0.9561522603034973,0.898193359375,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_top_only/strong/seed_00/candidates/cand_031_g02_m15/perturbed_edited.png,0.00687679648399353,0.00687679648399353,phase2c_probe,0.1961529703050592,0.11371439739455323,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",semantic_heavy_cem,add headphones,1,add_headphones,10,1,headphones_top_only,headphones_top_only,0.021481528878211975,0.021080762147903442,0.0004007667303085327,0.31513598561286926,24301,0.020965546369552612,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_077_g05_m13,cand_077_g05_m13,0.9,0.007498979568481445,8.803606033325195e-05,0.007410943508148193,4
