best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08,16,cand_016_g02_m08,0.029749155044555664,0.029749155044555664,True,0.0011682510375976562,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0012', 'semantic_drop_small:0.0012']",0.0011682510375976562,5.192102484405041,0.20073331927513577,0.0011682510375976562,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.01821905723957017,0.6078431606292725,0.003779955906793475,0.6747106313705443,34.78948199429175,0.9674710631370544,5.283190727233887,6.0,0.41183140873908997,8,4,0.19606031512474514,1.0,0.03237097346597785,0.7372549176216125,0.011357703246176243,29.796884804320722,0.9334235787391663,3.4631001949310303,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_016_g02_m08/perturbed_edited.png,0.028580904006958008,0.028580904006958008,phase3_breadth_probe,0.20073331927513577,0.19606031512474514,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,1,1,beard,0.8985017538070679,31101,0.0011682510375976562,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06,14,cand_014_g02_m06,0.029749155044555664,0.029749155044555664,True,-0.0015610158443450928,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0016', 'semantic_drop_nonpositive:-0.0016']",0.0,5.656777389347553,0.1901606894590326,-0.0015610158443450928,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.01824086041621473,0.6039215922355652,0.003933156840503216,0.6837234497070311,34.779093599536914,0.9683723449707031,5.781641006469727,6.0,0.4090552031993866,6,4,0.1901606894590326,1.0,0.03137916269545426,0.7333333492279053,0.011843078769743443,30.067172981454164,0.9353559613227844,3.1608707904815674,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_014_g02_m06/perturbed_edited.png,0.03131017088890076,0.03131017088890076,phase3_breadth_probe,0.1901606894590326,0.1901606894590326,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,2,1,beard,0.9832723140716553,31101,-0.0015610158443450928,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01,1,cand_001_g01_m01,0.029749155044555664,0.029749155044555664,True,0.00044232606887817383,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0004', 'semantic_drop_small:0.0004']",0.00044232606887817383,5.074066100642085,0.18366978909276493,0.00044232606887817383,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.01712897622856452,0.5647059082984924,0.0038448406849056482,0.6923846006393432,35.32537186686837,0.9692384600639343,3.6133100986480713,6.0,0.30910030007362366,1,4,0.18190048481725224,1.0,0.029401521746572273,0.7803921699523926,0.01116039976477623,30.632603820984052,0.9357056021690369,2.1869194507598877,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_001_g01_m01/perturbed_edited.png,0.02930682897567749,0.02930682897567749,phase3_breadth_probe,0.18366978909276493,0.18190048481725224,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,3,1,beard,0.6145085096359253,31101,0.00044232606887817383,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03,11,cand_011_g02_m03,0.029749155044555664,0.029749155044555664,True,0.0012136399745941162,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0012', 'semantic_drop_small:0.0012']",0.0012136399745941162,5.330175932496786,0.1826427969304301,0.0012136399745941162,2,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.011198935735545689,0.42352941632270813,0.0026524262502789497,0.7867989540100098,39.016464950420186,0.978679895401001,3.4686665534973145,6.0,0.2408319115638733,3,4,0.17778823703205363,1.0,0.027651379331141153,0.6588234901428223,0.011461659334599972,31.165663998967034,0.932817280292511,1.7606580257415771,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_011_g02_m03/perturbed_edited.png,0.028535515069961548,0.028535515069961548,phase3_breadth_probe,0.1826427969304301,0.17778823703205363,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,4,1,beard,0.9060729742050171,31101,0.0012136399745941162,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01,9,cand_009_g02_m01,0.029749155044555664,0.029749155044555664,True,-0.0003216862678527832,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0003', 'semantic_drop_nonpositive:-0.0003']",0.0,5.194099562242627,0.16198016378014743,-0.0003216862678527832,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.014291917435301015,0.6078431606292725,0.0032451003789901733,0.7369861602783202,36.89819002780889,0.973698616027832,3.669377565383911,6.0,0.29040491580963135,1,4,0.16198016378014743,1.0,0.025986912778838127,0.6313725709915161,0.010103273205459118,31.7049062243334,0.9419674873352051,2.1928911209106445,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_009_g02_m01/perturbed_edited.png,0.030070841312408447,0.030070841312408447,phase3_breadth_probe,0.16198016378014743,0.16198016378014743,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,5,1,beard,0.7697057723999023,31101,-0.0003216862678527832,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07,15,cand_015_g02_m07,0.029749155044555664,0.029749155044555664,True,0.00013786554336547852,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0001', 'semantic_drop_small:0.0001']",0.00013786554336547852,5.190596833825111,0.16033841937934673,0.00013786554336547852,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.015549199730071052,0.6392157077789307,0.0033174054697155952,0.725016951560974,36.165839157511705,0.9725016951560974,4.900671005249023,6.0,0.37749913334846497,7,4,0.15978695720588482,1.0,0.025294978842524973,0.6666666865348816,0.010194621048867702,31.93931359024249,0.9413929581642151,3.1212759017944336,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_015_g02_m07/perturbed_edited.png,0.029611289501190186,0.029611289501190186,phase3_breadth_probe,0.16033841937934673,0.15978695720588482,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,6,1,beard,0.8334474563598633,31101,0.00013786554336547852,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04,4,cand_004_g01_m04,0.029749155044555664,0.029749155044555664,True,-0.0003426074981689453,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0003', 'semantic_drop_nonpositive:-0.0003']",0.0,5.1613168604671955,0.15657799175947068,-0.0003426074981689453,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.014376396600988658,0.615686297416687,0.0031129212584346533,0.7528618574142456,36.84699909744039,0.9752861857414246,4.12254524230957,6.0,0.30193856358528137,4,4,0.15657799175947068,1.0,0.02534971816234081,0.6745098233222961,0.009732447564601898,31.92053729562324,0.9448208808898926,2.2769341468811035,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_004_g01_m04/perturbed_edited.png,0.03009176254272461,0.03009176254272461,phase3_breadth_probe,0.15657799175947068,0.15657799175947068,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,7,1,beard,0.9791749715805054,31101,-0.0003426074981689453,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05,5,cand_005_g01_m05,0.029749155044555664,0.029749155044555664,True,0.00024178624153137207,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0002', 'semantic_drop_small:0.0002']",0.00024178624153137207,5.365472503006458,0.1527111642913473,0.00024178624153137207,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.01099440092612875,0.3803921937942505,0.0025574530009180307,0.790847897529602,39.17656859857811,0.9790847897529602,2.3053600788116455,6.0,0.2089003026485443,5,4,0.1517440193252218,1.0,0.02408179922293753,0.6313725709915161,0.009981527924537659,32.36622137535846,0.9445831775665283,1.603939175605774,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_005_g01_m05/perturbed_edited.png,0.029507368803024292,0.029507368803024292,phase3_breadth_probe,0.1527111642913473,0.1517440193252218,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,8,1,beard,0.3920679986476898,31101,0.00024178624153137207,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.029749155044555664,0.029749155044555664,True,6.645917892456055e-05,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0001', 'semantic_drop_small:0.0001']",6.645917892456055e-05,5.41921510733664,0.15190293145285144,6.645917892456055e-05,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.012070274218904413,0.4078431725502014,0.0025390475057065487,0.8079425096511841,38.36565726515457,0.9807942509651184,2.9254074096679688,6.0,0.21290603280067444,4,4,0.1516370947371532,1.0,0.025042821347976963,0.6745098233222961,0.009336145594716072,32.026334893550185,0.9485341906547546,1.7029882669448853,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.029682695865631104,0.029682695865631104,phase3_breadth_probe,0.15190293145285144,0.1516370947371532,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,9,1,beard,0.49751830101013184,31101,6.645917892456055e-05,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02,strong,6.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02,2,cand_002_g01_m02,0.029749155044555664,0.029749155044555664,True,0.0006704330444335938,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0007', 'semantic_drop_small:0.0007']",0.0006704330444335938,5.216919889673591,0.1456158328780976,0.0006704330444335938,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.011145014595749295,0.5647059082984924,0.002489745384082198,0.8027420043945312,39.058387168440724,0.9802742004394531,1.7538704872131348,6.0,0.1656988561153412,2,4,0.14293410070036322,1.0,0.022963885683055893,0.658823549747467,0.008633443154394627,32.77909247536862,0.9489214420318604,1.1685996055603027,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p00/add_a_small_beard/strong/seed_00/candidates/cand_002_g01_m02/perturbed_edited.png,0.02907872200012207,0.02907872200012207,phase3_breadth_probe,0.1456158328780976,0.14293410070036322,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,10,1,beard,0.42227479815483093,31101,0.0006704330444335938,4.0,0.9,4
