best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02,10,cand_010_g02_m02,0.020921379327774048,0.020921379327774048,True,0.0005040466785430908,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0005', 'semantic_drop_small:0.0005']",0.0005040466785430908,5.452415125444531,0.16143715552170934,0.0005040466785430908,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.023243464757380608,0.6431372761726379,0.004366820212453604,0.4244486093521123,32.67398267808164,0.9654669165611267,3.1839730739593506,4.0,0.2759590148925781,2,4,0.15942096880753698,1.0,0.029088274070818876,0.8509804010391235,0.00877379346638918,30.725640929996175,0.9569321274757385,2.6035757064819336,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_010_g02_m02/perturbed_edited.png,0.020417332649230957,0.020417332649230957,phase3_breadth_probe,0.16143715552170934,0.15942096880753698,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,1,1,smile,0.9708091020584106,32001,0.0005040466785430908,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06,14,cand_014_g02_m06,0.020921379327774048,0.020921379327774048,True,0.00015249848365783691,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0002', 'semantic_drop_small:0.0002']",0.00015249848365783691,5.113617504015565,0.15990039333157005,0.00015249848365783691,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.020947307501041908,0.6235294342041016,0.004235191736370325,0.4606008132298792,33.577435838286156,0.9676360487937927,3.493743896484375,4.0,0.28360384702682495,6,4,0.1592903993969387,1.0,0.02881541009856329,0.843137264251709,0.010062809102237225,30.80750390390085,0.9559712409973145,3.053619146347046,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_014_g02_m06/perturbed_edited.png,0.02076888084411621,0.02076888084411621,phase3_breadth_probe,0.15990039333157005,0.1592903993969387,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,2,1,smile,0.8941290378570557,32001,0.00015249848365783691,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05,5,cand_005_g01_m05,0.020921379327774048,0.020921379327774048,True,0.0012485384941101074,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0012', 'semantic_drop_small:0.0012']",0.0012485384941101074,5.395282126963139,0.14806225076547633,0.0012485384941101074,1,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.018548135322097776,0.6274510025978088,0.0034182381350547075,0.5475649833679204,34.63399488542982,0.9728538990020752,2.3958983421325684,4.0,0.20698150992393494,5,4,0.1430680967890359,1.0,0.02646886352507117,0.8705882430076599,0.008397595025599003,31.545294105885525,0.9628073573112488,2.0059311389923096,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_005_g01_m05/perturbed_edited.png,0.01967284083366394,0.01967284083366394,phase3_breadth_probe,0.14806225076547633,0.1430680967890359,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,3,1,smile,0.9493436813354492,32001,0.0012485384941101074,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08,16,cand_016_g02_m08,0.020921379327774048,0.020921379327774048,True,0.0017487704753875732,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0017', 'semantic_drop_small:0.0017']",0.0017487704753875732,4.917427619919181,0.14039964204912497,0.0017487704753875732,2,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.016380469077572818,0.6196078658103943,0.003285476239398122,0.5805859565734867,35.71347331538922,0.9748351573944092,2.2520480155944824,4.0,0.18783171474933624,8,4,0.13340456014757468,1.0,0.024574549808812924,0.7607843279838562,0.008188252337276936,32.19028858880907,0.964893639087677,1.8947900533676147,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_016_g02_m08/perturbed_edited.png,0.019172608852386475,0.019172608852386475,phase3_breadth_probe,0.14039964204912497,0.13340456014757468,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,4,1,smile,0.882311224937439,32001,0.0017487704753875732,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01,9,cand_009_g02_m01,0.020921379327774048,0.020921379327774048,True,0.0013228952884674072,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0013', 'semantic_drop_small:0.0013']",0.0013228952884674072,5.341434467583895,0.1394336653779505,0.0013228952884674072,2,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.016815667569543537,0.5607843399047852,0.0032020520884543657,0.5912363131841027,35.485717736758986,0.9754741787910461,2.2163963317871094,4.0,0.18194212019443512,1,4,0.13414208422408086,1.0,0.024674411441647965,0.8235294222831726,0.007805153727531433,32.1550639550859,0.964555561542511,1.8120286464691162,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_009_g02_m01/perturbed_edited.png,0.01959848403930664,0.01959848403930664,phase3_breadth_probe,0.1394336653779505,0.13414208422408086,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,5,1,smile,0.9590991735458374,32001,0.0013228952884674072,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.020921379327774048,0.020921379327774048,True,0.0014700144529342651,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0015', 'semantic_drop_small:0.0015']",0.0014700144529342651,5.450249567627907,0.1386753872376731,0.0014700144529342651,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.016828760839324785,0.5686274766921997,0.0034079805482178926,0.5856275161107385,35.478957229451176,0.9751376509666443,3.1198160648345947,4.0,0.21028076112270355,4,4,0.13279532942593603,1.0,0.024269520127327516,0.9254902005195618,0.008063338696956635,32.29877621469961,0.964282751083374,2.170421838760376,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.019451364874839783,0.019451364874839783,phase3_breadth_probe,0.1386753872376731,0.13279532942593603,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,6,1,smile,0.9498406648635864,32001,0.0014700144529342651,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03,3,cand_003_g01_m03,0.020921379327774048,0.020921379327774048,True,0.0014183968305587769,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0014', 'semantic_drop_small:0.0014']",0.0014183968305587769,5.393051510676742,0.13732060489184894,0.0014183968305587769,1,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.018551006548064252,0.5882353186607361,0.003487053094431758,0.5509197314580285,34.63265042565725,0.9730551838874817,3.378535747528076,4.0,0.2109295278787613,3,4,0.13164701756961383,1.0,0.024150944494026994,0.7686274647712708,0.007099533919245005,32.34131760423431,0.9649567604064941,2.0015556812286377,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_003_g01_m03/perturbed_edited.png,0.01950298249721527,0.01950298249721527,phase3_breadth_probe,0.13732060489184894,0.13164701756961383,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,7,1,smile,0.8875201940536499,32001,0.0014183968305587769,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06,6,cand_006_g01_m06,0.020921379327774048,0.020921379327774048,True,0.000664830207824707,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0007', 'semantic_drop_small:0.0007']",0.000664830207824707,5.416531195864081,0.13104079387513626,0.000664830207824707,1,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.01679659939556457,0.6431372761726379,0.0032805053051561117,0.5928565661112472,35.49557271456933,0.9755713939666748,3.0578086376190186,4.0,0.18304520845413208,6,4,0.12838147304383743,1.0,0.023679311627963752,0.7411764860153198,0.008089277893304825,32.512618539423414,0.9663357734680176,1.6205066442489624,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_006_g01_m06/perturbed_edited.png,0.02025654911994934,0.02025654911994934,phase3_breadth_probe,0.13104079387513626,0.12838147304383743,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,8,1,smile,0.7800531387329102,32001,0.000664830207824707,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01,1,cand_001_g01_m01,0.020921379327774048,0.020921379327774048,True,0.0003547966480255127,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0004', 'semantic_drop_small:0.0004']",0.0003547966480255127,5.210926426574588,0.11666040335225292,0.0003547966480255127,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.016063833768262245,0.6470588445663452,0.002865416230633855,0.6245731910069787,35.88301597354507,0.9774743914604187,3.172203540802002,4.0,0.1816403865814209,1,4,0.11524121676015087,1.0,0.021611091281292905,0.6784313917160034,0.006760586518794298,33.30646604551199,0.9712031483650208,1.720504641532898,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_001_g01_m01/perturbed_edited.png,0.020566582679748535,0.020566582679748535,phase3_breadth_probe,0.11666040335225292,0.11524121676015087,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,9,1,smile,0.8092355728149414,32001,0.0003547966480255127,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07,medium,4.0,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07,15,cand_015_g02_m07,0.020921379327774048,0.020921379327774048,True,0.0018440186977386475,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0018', 'semantic_drop_small:0.0018']",0.0018440186977386475,4.960923997685313,0.11328190244295752,0.0018440186977386475,2,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.01226863041335674,0.6392157077789307,0.0024397557135671377,0.7019817431767784,38.2240783251182,0.9821189045906067,1.8428086042404175,4.0,0.1207168847322464,7,4,0.10590582765200293,1.0,0.0198072336044375,0.8470588326454163,0.00604601576924324,34.063523527313954,0.9733231067657471,1.1132091283798218,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07/flow.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07/original.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_001/igs_1p50/make_the_person_smile_slightly/medium/seed_00/candidates/cand_015_g02_m07/perturbed_edited.png,0.0190773606300354,0.0190773606300354,phase3_breadth_probe,0.11328190244295752,0.10590582765200293,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,10,1,smile,0.8794759511947632,32001,0.0018440186977386475,4.0,0.94,4
