best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03,3,cand_003_g01_m03,0.04682642221450806,0.04682642221450806,True,0.0026253163814544678,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0026', 'semantic_drop_small:0.0026']",0.0026253163814544678,4.842246204614639,0.25153033916310974,0.0026253163814544678,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.024831362145965413,0.7333333492279053,0.00776238739490509,0.07059570153554363,32.099989123809706,0.9442357420921326,0.01800447702407837,0.022571638226509094,-0.004567161202430725,2.8891568183898926,4.0,0.01420570413271586,-3.523627916971842e-05,0.45527318120002747,3,4,-0.002621173858642578,-0.004567161202430725,0.2410290736372919,1.0,0.03997041032750535,0.8745098114013672,0.014222743920981884,27.965227866893652,0.9188525676727295,2.31022572517395,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_003_g01_m03/perturbed_edited.png,0.04420110583305359,0.04420110583305359,phase3_breadth_probe,0.25153033916310974,0.2410290736372919,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,1,3,headphones,0.02526278793811798,0.022666648030281067,0.002596139907836914,0.7370297908782959,34001,0.0026253163814544678,4.0,0.94,-0.0007558614015579224,-0.002621173858642578,0.0018653124570846558,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02,10,cand_010_g02_m02,0.04682642221450806,0.04682642221450806,True,0.0016338527202606201,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0016', 'semantic_drop_small:0.0016']",0.0016338527202606201,4.83485390804708,0.24944253085204415,0.0016338527202606201,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.022640262658367057,0.6549019813537598,0.007948054932057858,0.08232390880584799,32.90237078075506,0.9449394345283508,0.01800447702407837,0.02134864032268524,-0.0033441632986068726,2.722900867462158,4.0,0.013453543186187744,0.0007169246673583984,0.5274239182472229,2,4,-0.002230703830718994,-0.0033441632986068726,0.24290711997100167,1.0,0.03895968526141955,0.8745098114013672,0.015301525592803955,28.187691205160462,0.9129316210746765,1.978920340538025,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_010_g02_m02/perturbed_edited.png,0.045192569494247437,0.045192569494247437,phase3_breadth_probe,0.24944253085204415,0.24290711997100167,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,2,3,headphones,0.02526278793811798,0.021242693066596985,0.004020094871520996,0.694617509841919,34001,0.0016338527202606201,4.0,0.94,-0.0007558614015579224,-0.002230703830718994,0.0014748424291610718,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05,5,cand_005_g01_m05,0.04682642221450806,0.04682642221450806,True,0.0033979713916778564,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0034', 'semantic_drop_small:0.0034']",0.0033979713916778564,4.857315750792623,0.246919023681703,0.0033979713916778564,1,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.022049503913447222,0.6274509429931641,0.007506194990128279,0.08388952414194824,33.13202354349297,0.9450333714485168,0.01800447702407837,0.017731189727783203,0.000273287296295166,2.111715793609619,4.0,0.014402896165847778,-0.00023242831230163574,0.3805966377258301,5,4,-0.001071244478225708,-0.0012859553098678589,0.23332713811499156,1.0,0.03668288580800662,0.8196078538894653,0.015731165185570717,28.7107301224208,0.9134044051170349,1.7114381790161133,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_005_g01_m05/perturbed_edited.png,0.0434284508228302,0.0434284508228302,phase3_breadth_probe,0.246919023681703,0.23332713811499156,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,3,3,headphones,0.02526278793811798,0.02654874324798584,-0.0012859553098678589,0.5387030243873596,34001,0.0033979713916778564,4.0,0.94,-0.0007558614015579224,-0.001071244478225708,0.00031538307666778564,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08,16,cand_016_g02_m08,0.04682642221450806,0.04682642221450806,True,-0.0007859468460083008,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",reject_input_damage,"['input_ssim_below_target:0.9396<0.9400', 'semantic_drop_nonpositive:-0.0008']",0.0,4.644106108695269,0.23062298610168724,-0.0007859468460083008,2,0.0,1.0,region_local_tps,False,False,0.0032863807678218393,3.0,0.024073837250248198,0.6313725709915161,0.008281641639769077,0.0,32.36909359642232,0.9395892024040222,0.01800447702407837,0.020409896969795227,-0.002405419945716858,2.4418816566467285,4.0,0.01397062341372172,0.0001998444398244222,0.44826221466064453,8,4,-0.0011392980813980103,-0.002405419945716858,0.24048212840515276,1.0,0.0381069125591663,0.8549019694328308,0.01474787574261427,28.37992473110838,0.9119455218315125,1.8926033973693848,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_016_g02_m08/perturbed_edited.png,0.04761236906051636,0.04761236906051636,phase3_breadth_probe,0.23062298610168724,0.24048212840515276,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,4,3,headphones,0.02526278793811798,0.022641271352767944,0.0026215165853500366,0.6229289770126343,34001,-0.0007859468460083008,4.0,0.94,-0.0007558614015579224,-0.0011392980813980103,0.0003834366798400879,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07,7,cand_007_g01_m07,0.04682642221450806,0.04682642221450806,True,0.0019497573375701904,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0019', 'semantic_drop_small:0.0019']",0.0019497573375701904,4.801298446953297,0.22719841353542797,0.0019497573375701904,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.021142030333322875,0.5137255191802979,0.007448041345924139,0.01700119177500494,33.497066168180154,0.9410200715065002,0.01800447702407837,0.01890377700328827,-0.0008992999792098999,1.8626576662063599,4.0,0.013753965497016907,0.00041650235652923584,0.340812623500824,7,4,-0.0028213709592819214,-0.0008992999792098999,0.2193993841851472,1.0,0.034313468020278196,0.6666666865348816,0.013822945766150951,29.290707722260144,0.9178544878959656,1.4335780143737793,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_007_g01_m07/perturbed_edited.png,0.044876664876937866,0.044876664876937866,phase3_breadth_probe,0.22719841353542797,0.2193993841851472,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,5,3,headphones,0.02526278793811798,0.025179490447044373,8.32974910736084e-05,0.47516778111457825,34001,0.0019497573375701904,4.0,0.94,-0.0007558614015579224,-0.0028213709592819214,0.002065509557723999,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.04682642221450806,0.04682642221450806,True,0.0008101761341094971,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0008', 'semantic_drop_small:0.0008']",0.0008101761341094971,4.8285921681672335,0.21549079180253924,0.0008101761341094971,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.02048967970451954,0.5882353186607361,0.007182855159044266,0.18785492579142324,33.76929660908392,0.9512712955474854,0.01800447702407837,0.019310608506202698,-0.0013061314821243286,1.8585271835327148,4.0,0.012342666586240133,0.00182780126730601,0.3530568480491638,4,4,-0.0033199936151504517,-0.0013061314821243286,0.21225008726610126,1.0,0.033488639594349716,0.8470588326454163,0.013500850647687912,29.502049888060384,0.9217044711112976,1.4490922689437866,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.04601624608039856,0.04601624608039856,phase3_breadth_probe,0.21549079180253924,0.21225008726610126,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,6,3,headphones,0.02526278793811798,0.021037384867668152,0.004225403070449829,0.4781450927257538,34001,0.0008101761341094971,4.0,0.94,-0.0007558614015579224,-0.0033199936151504517,0.0025641322135925293,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08,8,cand_008_g01_m08,0.04682642221450806,0.04682642221450806,True,-0.00013643503189086914,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0001', 'semantic_drop_nonpositive:-0.0001']",0.0,4.931759772822261,0.1889020414870626,-0.00013643503189086914,1,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.020045438146349796,0.6000000238418579,0.005666096229106188,0.34544563293457087,33.95968893298121,0.9607267379760742,0.01800447702407837,0.020541459321975708,-0.002536982297897339,3.01167368888855,4.0,0.012933815519014994,0.0012366523345311482,0.31696009635925293,8,4,-0.004347965121269226,-0.002536982297897339,0.1889020414870626,1.0,0.031842266810974636,0.7529411911964417,0.011269384063780308,29.9399204591047,0.9384670257568359,1.8511167764663696,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/perturbed_edited.png,0.046962857246398926,0.046962857246398926,phase3_breadth_probe,0.1889020414870626,0.1889020414870626,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,7,3,headphones,0.02526278793811798,0.0226079523563385,0.00265483558177948,0.7684249877929688,34001,-0.00013643503189086914,4.0,0.94,-0.0007558614015579224,-0.004347965121269226,0.0035921037197113037,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06,14,cand_014_g02_m06,0.04682642221450806,0.04682642221450806,True,-0.0004521012306213379,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",reject_input_damage,"['input_ssim_below_target:0.9381<0.9400', 'semantic_drop_nonpositive:-0.0005']",0.0,4.773190259933472,0.18107765189102243,-0.0004521012306213379,2,0.0,1.0,region_local_tps,False,False,0.01492597579956012,3.0,0.022014766316499543,0.7254902124404907,0.008241395466029644,0.0,33.145718403038366,0.9381342530250549,0.01800447702407837,0.019565030932426453,-0.0015605539083480835,2.8511104583740234,4.0,0.013188257813453674,0.0009822100400924683,0.46017786860466003,6,4,-0.002889484167098999,-0.0015605539083480835,0.2258555792897028,1.0,0.03414839265567765,0.7960784435272217,0.014560005627572536,29.332594669633224,0.9107379913330078,1.8568708896636963,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_014_g02_m06/perturbed_edited.png,0.047278523445129395,0.047278523445129395,phase3_breadth_probe,0.18107765189102243,0.2258555792897028,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,8,3,headphones,0.02526278793811798,0.02288922667503357,0.0023735612630844116,0.7273240089416504,34001,-0.0004521012306213379,4.0,0.94,-0.0007558614015579224,-0.002889484167098999,0.0021336227655410767,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02,2,cand_002_g01_m02,0.04682642221450806,0.04682642221450806,True,0.0031896233558654785,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0032', 'semantic_drop_small:0.0032']",0.0031896233558654785,4.979392740875483,0.169685136284291,0.0031896233558654785,1,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.013090449794468809,0.3764705955982208,0.004390097688883543,0.63087538878123,37.66090861230084,0.9778525233268738,0.01800447702407837,0.018495485186576843,-0.0004910081624984741,1.0008864402770996,4.0,0.013096566001574198,0.001073901851971944,0.18679487705230713,2,4,0.00014463067054748535,-0.0009004920721054077,0.15692664286082908,1.0,0.026149111739262747,0.7686274647712708,0.011373479850590229,31.650861182426432,0.9476698040962219,0.8888203501701355,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_002_g01_m02/perturbed_edited.png,0.04363679885864258,0.04363679885864258,phase3_breadth_probe,0.169685136284291,0.15692664286082908,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,9,3,headphones,0.02526278793811798,0.020649582147598267,0.004613205790519714,0.437458872795105,34001,0.0031896233558654785,4.0,0.94,-0.0007558614015579224,0.00014463067054748535,-0.0009004920721054077,4
phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04,medium,4.0,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04,4,cand_004_g01_m04,0.04682642221450806,0.04682642221450806,True,0.0009216666221618652,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0009', 'semantic_drop_small:0.0009']",0.0009216666221618652,4.845606818795204,0.15257686620536134,0.0009216666221618652,1,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.014410316191560186,0.5098039507865906,0.004449442028999329,0.564491709073385,36.82652979559633,0.9738695025444031,0.01800447702407837,0.020342841744422913,-0.0023383647203445435,1.8594541549682617,4.0,0.013807222247123718,0.0003632456064224243,0.22428098320960999,4,4,-0.0013637393712997437,-0.0023383647203445435,0.14889019971671388,1.0,0.02468621791795563,0.772549033164978,0.01003983709961176,32.150908831721026,0.9498546719551086,1.2006118297576904,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04/flow.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04/original.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_002/igs_1p50/add_headphones/medium/seed_00/candidates/cand_004_g01_m04/perturbed_edited.png,0.04590475559234619,0.04590475559234619,phase3_breadth_probe,0.15257686620536134,0.14889019971671388,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add headphones,1,add_headphones,10,3,headphones,0.02526278793811798,0.022442564368247986,0.002820223569869995,0.48680803179740906,34001,0.0009216666221618652,4.0,0.94,-0.0007558614015579224,-0.0013637393712997437,0.0006078779697418213,4
