best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02,10,cand_010_g02_m02,0.043025851249694824,0.043025851249694824,True,0.0020252466201782227,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0020', 'semantic_drop_small:0.0020']",0.0020252466201782227,4.846725383773446,0.36887492650591874,0.0020252466201782227,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.023618960508096518,0.8078431487083435,0.0052446904592216015,0.5575809478759765,32.534784399930004,0.9557580947875977,4.865389823913574,6.0,0.49547407031059265,2,4,0.36077394002520585,1.0,0.06193183837792164,0.9058823585510254,0.021799175068736076,24.16172056498308,0.8869534134864807,3.1411049365997314,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_010_g02_m02/perturbed_edited.png,0.0410006046295166,0.0410006046295166,phase3_breadth_probe,0.36887492650591874,0.36077394002520585,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,1,1,clothing,0.8274966478347778,43101,0.0020252466201782227,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03,3,cand_003_g01_m03,0.043025851249694824,0.043025851249694824,True,0.001060575246810913,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0011', 'semantic_drop_small:0.0011']",0.001060575246810913,4.761741179972887,0.3311117295967848,0.001060575246810913,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.017591672385649758,0.6823529601097107,0.003760149935260415,0.6821665763854979,35.09385743105056,0.9682166576385498,4.155005931854248,6.0,0.3715295195579529,3,4,0.32686942860954116,1.0,0.05648356687395053,0.8745098114013672,0.01936313882470131,24.96155771760869,0.899064838886261,2.6821744441986084,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_003_g01_m03/perturbed_edited.png,0.04196527600288391,0.04196527600288391,phase3_breadth_probe,0.3311117295967848,0.32686942860954116,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,2,1,clothing,0.7291469573974609,43101,0.001060575246810913,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02,2,cand_002_g01_m02,0.043025851249694824,0.043025851249694824,True,-0.0024757981300354004,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0025', 'semantic_drop_nonpositive:-0.0025']",0.0,4.7973696030676365,0.29959046823977353,-0.0024757981300354004,1,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.02146739112305515,0.7803921699523926,0.004979237448424101,0.6113914251327514,33.36441462101409,0.9611391425132751,5.2715840339660645,6.0,0.5595462918281555,2,4,0.29959046823977353,1.0,0.05021636183857651,0.9529411792755127,0.017831023782491684,25.983095099951218,0.9012749791145325,3.768662452697754,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_002_g01_m02/perturbed_edited.png,0.045501649379730225,0.045501649379730225,phase3_breadth_probe,0.29959046823977353,0.29959046823977353,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,3,1,clothing,0.8965280055999756,43101,-0.0024757981300354004,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03,11,cand_011_g02_m03,0.043025851249694824,0.043025851249694824,True,7.298588752746582e-05,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0001', 'semantic_drop_small:0.0001']",7.298588752746582e-05,4.937635051086545,0.27334318634970817,7.298588752746582e-05,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.02455908735917491,0.7882353067398071,0.005823810119181871,0.4279998540878295,32.19575552117007,0.942799985408783,4.500679969787598,6.0,0.48398876190185547,3,4,0.2730512427995983,1.0,0.046901087157686136,0.886274516582489,0.015773991122841835,26.576341806204997,0.9145531058311462,2.691657543182373,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_011_g02_m03/perturbed_edited.png,0.04295286536216736,0.04295286536216736,phase3_breadth_probe,0.27334318634970817,0.2730512427995983,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,4,1,clothing,0.9617117643356323,43101,7.298588752746582e-05,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07,7,cand_007_g01_m07,0.043025851249694824,0.043025851249694824,True,-0.0015451610088348389,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0015', 'semantic_drop_nonpositive:-0.0015']",0.0,4.792737111449242,0.2578522926787998,-0.0015451610088348389,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.006856590178254721,0.34117650985717773,0.001473500276915729,0.9475759267807007,43.27783615504575,0.9947575926780701,1.358561396598816,6.0,0.11261288076639175,7,4,0.2578522926787998,1.0,0.047401005184165276,0.8823529481887817,0.015184037387371063,26.48424897187376,0.9317517280578613,0.5974626541137695,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_007_g01_m07/perturbed_edited.png,0.04457101225852966,0.04457101225852966,phase3_breadth_probe,0.2578522926787998,0.2578522926787998,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,5,1,clothing,0.26194077730178833,43101,-0.0015451610088348389,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05,5,cand_005_g01_m05,0.043025851249694824,0.043025851249694824,True,-0.0014475584030151367,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0014', 'semantic_drop_nonpositive:-0.0014']",0.0,4.7572322357445955,0.251614599661268,-0.0014475584030151367,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.007567608511501968,0.3294118046760559,0.0018368590390309691,0.9178391695022583,42.4208268600643,0.9917839169502258,1.2893565893173218,6.0,0.15484537184238434,5,4,0.251614599661268,1.0,0.045971236933329995,0.8627451062202454,0.014810080640017986,26.750276213402515,0.932270348072052,0.9095302820205688,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_005_g01_m05/perturbed_edited.png,0.04447340965270996,0.04447340965270996,phase3_breadth_probe,0.251614599661268,0.251614599661268,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,6,1,clothing,0.2977093458175659,43101,-0.0014475584030151367,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06,14,cand_014_g02_m06,0.043025851249694824,0.043025851249694824,True,0.0012514591217041016,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0013', 'semantic_drop_small:0.0013']",0.0012514591217041016,4.785589154809713,0.22162621137352306,0.0012514591217041016,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.01666383424299446,0.5803921818733215,0.004370934795588255,0.6501445770263671,35.56450126028311,0.9650144577026367,3.1370956897735596,6.0,0.39786022901535034,6,4,0.21662037488670666,1.0,0.037335497431088285,0.8745098114013672,0.013016368262469769,28.55756116144994,0.9327216148376465,2.429849147796631,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_014_g02_m06/perturbed_edited.png,0.04177439212799072,0.04177439212799072,phase3_breadth_probe,0.22162621137352306,0.21662037488670666,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,7,1,clothing,0.5335196256637573,43101,0.0012514591217041016,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08,16,cand_016_g02_m08,0.043025851249694824,0.043025851249694824,True,-0.002229839563369751,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0022', 'semantic_drop_nonpositive:-0.0022']",0.0,4.658914381638169,0.21807861063288647,-0.002229839563369751,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.019444514445775385,0.8784313797950745,0.004379980731755495,0.6343010663986205,34.224057945319664,0.9634301066398621,5.485976696014404,6.0,0.4189259707927704,8,4,0.21807861063288647,1.0,0.03882379763674487,0.9176470637321472,0.013443130999803543,28.21803970764178,0.937216579914093,2.6795578002929688,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_016_g02_m08/perturbed_edited.png,0.045255690813064575,0.045255690813064575,phase3_breadth_probe,0.21807861063288647,0.21807861063288647,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,8,1,clothing,0.9381365776062012,43101,-0.002229839563369751,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04,4,cand_004_g01_m04,0.043025851249694824,0.043025851249694824,True,0.0003441274166107178,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0003', 'semantic_drop_small:0.0003']",0.0003441274166107178,4.854901580139995,0.2042312873182889,0.0003441274166107178,1,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.01064062365335944,0.5568627715110779,0.00206698733381927,0.8802238702774048,39.46065834067815,0.9880223870277405,2.121814489364624,6.0,0.1460290253162384,4,4,0.20285477765184604,1.0,0.03678309055115273,0.8352941274642944,0.011877883225679398,28.687035674376865,0.9442775845527649,1.0305112600326538,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_004_g01_m04/perturbed_edited.png,0.042681723833084106,0.042681723833084106,phase3_breadth_probe,0.2042312873182889,0.20285477765184604,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,9,1,clothing,0.36136674880981445,43101,0.0003441274166107178,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04,strong,6.0,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.043025851249694824,0.043025851249694824,True,-0.0005145668983459473,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0005', 'semantic_drop_nonpositive:-0.0005']",0.0,4.834274251013994,0.20063958621028447,-0.0005145668983459473,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.014920136874138323,0.5686274766921997,0.0035281365271657705,0.7345703840255736,36.524543854411334,0.9734570384025574,3.8961315155029297,6.0,0.3068391680717468,4,4,0.20063958621028447,1.0,0.03559663408995515,0.886274516582489,0.012784765101969242,28.97182131316519,0.9417469501495361,1.9088644981384277,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_004/igs_1p00/add_a_red_scarf/strong/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.04354041814804077,0.04354041814804077,phase3_breadth_probe,0.20063958621028447,0.20063958621028447,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,10,1,clothing,0.6647317409515381,43101,-0.0005145668983459473,4.0,0.9,4
