best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08,16,cand_016_g02_m08,0.03089107573032379,0.03089107573032379,True,0.0006114989519119263,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0006', 'semantic_drop_small:0.0006']",0.0006114989519119263,5.024317409843206,0.243511185903387,0.0006114989519119263,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.01239925668999174,0.4745098352432251,0.0030484022572636604,0.6480097373326622,38.13208698241788,0.9788805842399597,3.6524786949157715,4.0,0.3896634578704834,8,4,0.2410651900957393,1.0,0.03722768670793293,0.4470588266849518,0.019511010497808456,28.58267899155646,0.9078455567359924,2.514986991882324,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_016_g02_m08/perturbed_edited.png,0.030279576778411865,0.030279576778411865,phase3_breadth_probe,0.243511185903387,0.2410651900957393,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,1,1,beard,0.9317548274993896,47001,0.0006114989519119263,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05,13,cand_013_g02_m05,0.03089107573032379,0.03089107573032379,True,0.0004904419183731079,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0005', 'semantic_drop_small:0.0005']",0.0004904419183731079,4.797217361629009,0.22517615652468365,0.0004904419183731079,2,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.006341918429018063,0.2509803771972656,0.0016694213263690472,0.8565087715784709,43.95558696505329,0.9913905262947083,2.77331280708313,4.0,0.17840442061424255,5,4,0.22321438885119121,1.0,0.036420330644613905,0.40392160415649414,0.018633415922522545,28.77312231498482,0.9224669337272644,1.3085283041000366,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_013_g02_m05/perturbed_edited.png,0.030400633811950684,0.030400633811950684,phase3_breadth_probe,0.22517615652468365,0.22321438885119121,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,2,1,beard,0.8965663909912109,47001,0.0004904419183731079,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03,11,cand_011_g02_m03,0.03089107573032379,0.03089107573032379,True,0.003320738673210144,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0033', 'semantic_drop_small:0.0033']",0.003320738673210144,4.9153655506670475,0.17695826893932481,0.003320738673210144,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.010527831895194056,0.32549017667770386,0.002551778219640255,0.7061441342035932,39.55322116679935,0.9823686480522156,3.2545077800750732,4.0,0.2686401605606079,3,4,0.16367531424648424,1.0,0.025035084798651085,0.3490195870399475,0.013501230627298355,32.02901866447151,0.9364650249481201,2.053889274597168,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_011_g02_m03/perturbed_edited.png,0.027570337057113647,0.027570337057113647,phase3_breadth_probe,0.17695826893932481,0.16367531424648424,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,3,1,beard,0.8302316665649414,47001,0.003320738673210144,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08,8,cand_008_g01_m08,0.03089107573032379,0.03089107573032379,True,-5.397200584411621e-05,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0001', 'semantic_drop_nonpositive:-0.0001']",0.0,4.853038860484958,0.16732628098937657,-5.397200584411621e-05,1,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.020488710248945063,0.6431372761726379,0.004251232836395502,0.517262975374858,33.76970758590073,0.9710357785224915,3.4071900844573975,4.0,0.30627763271331787,8,4,0.16732628098937657,1.0,0.02402571080081857,0.4941176772117615,0.010860242880880833,32.386475097282585,0.9287765622138977,2.427666425704956,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_008_g01_m08/perturbed_edited.png,0.030945047736167908,0.030945047736167908,phase3_breadth_probe,0.16732628098937657,0.16732628098937657,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,4,1,beard,0.8691811561584473,47001,-5.397200584411621e-05,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.03089107573032379,0.03089107573032379,True,0.0024537891149520874,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0025', 'semantic_drop_small:0.0025']",0.0024537891149520874,4.883095156401396,0.15756289920463334,0.0024537891149520874,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.009905007080500206,0.30980396270751953,0.002223050920292735,0.773526191711426,40.08290419348078,0.9864115715026855,3.5249569416046143,4.0,0.2450626641511917,4,4,0.147747742744825,1.0,0.02200829675111714,0.3607843518257141,0.011599499732255936,33.14827133449777,0.9402854442596436,1.986946702003479,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.028437286615371704,0.028437286615371704,phase3_breadth_probe,0.15756289920463334,0.147747742744825,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,5,1,beard,0.8992236852645874,47001,0.0024537891149520874,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07,7,cand_007_g01_m07,0.03089107573032379,0.03089107573032379,True,0.004241392016410828,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0042', 'semantic_drop_small:0.0042']",0.004241392016410828,4.822970934212208,0.15534537496082745,0.004241392016410828,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.011249373425976034,0.4117647409439087,0.0023861101362854242,0.7384826342264813,38.977433329219934,0.9843089580535889,3.5080268383026123,4.0,0.268404096364975,7,4,0.13837980689518414,1.0,0.020700587486010696,0.3176470994949341,0.010032772086560726,33.680346580415154,0.9444225430488586,2.404399871826172,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_007_g01_m07/perturbed_edited.png,0.026649683713912964,0.026649683713912964,phase3_breadth_probe,0.15534537496082745,0.13837980689518414,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,6,1,beard,0.8949047327041626,47001,0.004241392016410828,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02,10,cand_010_g02_m02,0.03089107573032379,0.03089107573032379,True,9.237229824066162e-05,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0001', 'semantic_drop_small:0.0001']",9.237229824066162e-05,4.979942589998245,0.15518016201410664,9.237229824066162e-05,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.018740955825175706,0.7058823704719543,0.00358529738150537,0.6084461609522505,34.54416526041241,0.976506769657135,3.094963788986206,4.0,0.2750523090362549,2,4,0.154810672821144,1.0,0.022654832855249378,0.4705882668495178,0.010578271001577377,32.896782752954046,0.9358086585998535,2.1849913597106934,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_010_g02_m02/perturbed_edited.png,0.03079870343208313,0.03079870343208313,phase3_breadth_probe,0.15518016201410664,0.154810672821144,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,7,1,beard,0.9180963039398193,47001,9.237229824066162e-05,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06,14,cand_014_g02_m06,0.03089107573032379,0.03089107573032379,True,0.003131285309791565,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0031', 'semantic_drop_small:0.0031']",0.003131285309791565,4.978267094120383,0.1497527064180878,0.003131285309791565,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.01082502202371489,0.3764706254005432,0.0023171815555542707,0.7690508762995404,39.31142422786493,0.9861430525779724,2.4934444427490234,4.0,0.1978272646665573,6,4,0.13722756517892154,1.0,0.02075605842710801,0.33725491166114807,0.010476374067366123,33.65710230922915,0.9457966685295105,1.625230073928833,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_014_g02_m06/perturbed_edited.png,0.027759790420532227,0.027759790420532227,phase3_breadth_probe,0.1497527064180878,0.13722756517892154,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,8,1,beard,0.8171309232711792,47001,0.003131285309791565,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01,9,cand_009_g02_m01,0.03089107573032379,0.03089107573032379,True,0.0029951483011245728,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0030', 'semantic_drop_small:0.0030']",0.0029951483011245728,4.9809260834008455,0.14812117233516875,0.0029951483011245728,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.012129609637358806,0.41568630933761597,0.0027625581715255976,0.7057994206746422,38.32306351287296,0.9823479652404785,3.5000975131988525,4.0,0.27377840876579285,1,4,0.13614057913067046,1.0,0.01967888925135658,0.27450981736183167,0.009967311285436153,34.11998836770772,0.9425749778747559,2.083289861679077,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_009_g02_m01/perturbed_edited.png,0.02789592742919922,0.02789592742919922,phase3_breadth_probe,0.14812117233516875,0.13614057913067046,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,9,1,beard,0.8928819894790649,47001,0.0029951483011245728,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07,medium,4.0,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07,15,cand_015_g02_m07,0.03089107573032379,0.03089107573032379,True,-4.2825937271118164e-05,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0000', 'semantic_drop_nonpositive:-0.0000']",0.0,4.848958935588598,0.1404688329370466,-4.2825937271118164e-05,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.018976835657949616,0.772549033164978,0.0033053478691726923,0.652168154716492,34.43552406879828,0.9791300892829895,3.7155349254608154,4.0,0.2222004234790802,7,4,0.1404688329370466,1.0,0.02094322370667376,0.43137258291244507,0.009646142832934856,33.57912936597731,0.9433040618896484,1.68141770362854,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07/flow.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07/original.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_005/igs_1p50/add_a_small_beard/medium/seed_00/candidates/cand_015_g02_m07/perturbed_edited.png,0.03093390166759491,0.03093390166759491,phase3_breadth_probe,0.1404688329370466,0.1404688329370466,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a small beard,4,add_a_small_beard,10,1,beard,0.9478404521942139,47001,-4.2825937271118164e-05,4.0,0.94,4
