best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06,14,cand_014_g02_m06,0.04745203256607056,0.04745203256607056,True,-0.0006162524223327637,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0006', 'semantic_drop_nonpositive:-0.0006']",0.0,4.7141325529664755,0.202367324450987,-0.0006162524223327637,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.021887554164884606,0.6117647290229797,0.005442038178443909,0.1841008265813199,33.19605532326976,0.9510460495948792,3.25419020652771,4.0,0.42007508873939514,6,4,0.202367324450987,1.0,0.03458898236835436,0.8509804010391235,0.01233347412198782,29.221244300799505,0.9359886050224304,2.6524109840393066,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_014_g02_m06/perturbed_edited.png,0.04806828498840332,0.04806828498840332,phase3_breadth_probe,0.202367324450987,0.202367324450987,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,1,1,clothing,0.8515578508377075,51001,-0.0006162524223327637,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.04745203256607056,0.04745203256607056,True,0.0011403262615203857,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0011', 'semantic_drop_small:0.0011']",0.0011403262615203857,4.776366468518972,0.18899772455868746,0.0011403262615203857,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.021055055599144334,0.48235297203063965,0.005389489699155092,0.1537640492121386,33.532872148403456,0.9492258429527283,2.993496894836426,4.0,0.37223297357559204,4,4,0.18443641951260592,1.0,0.03298030269786126,0.8313725590705872,0.010091685689985752,29.634907253146228,0.9474847912788391,2.298943519592285,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.04631170630455017,0.04631170630455017,phase3_breadth_probe,0.18899772455868746,0.18443641951260592,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,2,1,clothing,0.763647198677063,51001,0.0011403262615203857,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03,11,cand_011_g02_m03,0.04745203256607056,0.04745203256607056,True,0.00115242600440979,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0012', 'semantic_drop_small:0.0012']",0.00115242600440979,4.772792747244239,0.16107890871151603,0.00115242600440979,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.01632305171112563,0.5098039507865906,0.003907970618456602,0.44130877653757783,35.74397287070751,0.9664785265922546,2.223817825317383,4.0,0.24730390310287476,3,4,0.15646920469387687,1.0,0.028363237447997718,0.8352941274642944,0.008991013281047344,30.944883984902578,0.956983745098114,1.5553662776947021,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_011_g02_m03/perturbed_edited.png,0.04629960656166077,0.04629960656166077,phase3_breadth_probe,0.16107890871151603,0.15646920469387687,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,3,1,clothing,0.5673004388809204,51001,0.00115242600440979,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02,10,cand_010_g02_m02,0.04745203256607056,0.04745203256607056,True,0.00029543042182922363,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0003', 'semantic_drop_small:0.0003']",0.00029543042182922363,4.7143907602876425,0.16100863421738165,0.00029543042182922363,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.01646139334293933,0.4705882668495178,0.003997967578470707,0.4676957527796432,35.670668150956665,0.9680617451667786,2.7309534549713135,4.0,0.2757488191127777,2,4,0.15982691253006476,1.0,0.028789678724557205,0.7764706015586853,0.009644821286201477,30.8152636311848,0.9553318023681641,1.7717725038528442,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_010_g02_m02/perturbed_edited.png,0.04715660214424133,0.04715660214424133,phase3_breadth_probe,0.16100863421738165,0.15982691253006476,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,4,1,clothing,0.7154881954193115,51001,0.00029543042182922363,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05,13,cand_013_g02_m05,0.04745203256607056,0.04745203256607056,True,-0.00018081068992614746,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0002', 'semantic_drop_nonpositive:-0.0002']",0.0,4.681454578414559,0.15632037641720437,-0.00018081068992614746,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.019373745181851806,0.6078431606292725,0.004567259456962347,0.3290156126022345,34.25572833462189,0.959740936756134,2.815563917160034,4.0,0.2933468818664551,5,4,0.15632037641720437,1.0,0.028075094824325204,0.8784313797950745,0.008946925401687622,31.033575364474068,0.9559800028800964,1.8641868829727173,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_013_g02_m05/perturbed_edited.png,0.047632843255996704,0.047632843255996704,phase3_breadth_probe,0.15632037641720437,0.15632037641720437,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,5,1,clothing,0.7295341491699219,51001,-0.00018081068992614746,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04,4,cand_004_g01_m04,0.04745203256607056,0.04745203256607056,True,0.0012223422527313232,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0012', 'semantic_drop_small:0.0012']",0.0012223422527313232,4.951242554932833,0.15335197367096942,0.0012223422527313232,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.01712482567581192,0.4901961088180542,0.0037047092337161303,0.4599074125289922,35.32747681530143,0.9675944447517395,2.8223941326141357,4.0,0.20361898839473724,4,4,0.14846260466004413,1.0,0.02725144008255254,0.843137264251709,0.008271136321127415,31.29221085609112,0.960543155670166,1.2893834114074707,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_004_g01_m04/perturbed_edited.png,0.04622969031333923,0.04622969031333923,phase3_breadth_probe,0.15335197367096942,0.14846260466004413,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,6,1,clothing,0.7301473617553711,51001,0.0012223422527313232,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03,3,cand_003_g01_m03,0.04745203256607056,0.04745203256607056,True,0.0005188584327697754,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0005', 'semantic_drop_small:0.0005']",0.0005188584327697754,4.733462892472744,0.15181130108625895,0.0005188584327697754,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.012324363558208668,0.3019607961177826,0.003072746330872178,0.5832532644271854,38.18470997698992,0.9749951958656311,1.6661018133163452,4.0,0.18784864246845245,3,4,0.14973586735517985,1.0,0.02812924965568186,0.8313725590705872,0.007920957170426846,31.016837048656974,0.9627811312675476,1.1381722688674927,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_003_g01_m03/perturbed_edited.png,0.04693317413330078,0.04693317413330078,phase3_breadth_probe,0.15181130108625895,0.14973586735517985,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,7,1,clothing,0.4329327940940857,51001,0.0005188584327697754,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06,6,cand_006_g01_m06,0.04745203256607056,0.04745203256607056,True,0.0021779537200927734,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0022', 'semantic_drop_small:0.0022']",0.0021779537200927734,4.875496694818139,0.14483281851564483,0.0021779537200927734,1,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.014935700723437596,0.35686278343200684,0.00355228572152555,0.45466816425323536,36.515487944379615,0.9672800898551941,2.977169990539551,4.0,0.2300843745470047,6,4,0.13612100363527374,1.0,0.02397558808514137,0.7960784435272217,0.008611826226115227,32.40461462871474,0.9597813487052917,1.697662591934204,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_006_g01_m06/perturbed_edited.png,0.04527407884597778,0.04527407884597778,phase3_breadth_probe,0.14483281851564483,0.13612100363527374,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,8,1,clothing,0.7594821453094482,51001,0.0021779537200927734,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01,9,cand_009_g02_m01,0.04745203256607056,0.04745203256607056,True,0.0007281005382537842,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0007', 'semantic_drop_small:0.0007']",0.0007281005382537842,4.847483081743121,0.1426962001845079,0.0007281005382537842,2,0.0,1.0,region_local_dct,False,False,0.0,3.0,0.012077544205046966,0.29411768913269043,0.0029897361528128386,0.6572573979695641,38.360427285526285,0.9794354438781738,1.8147056102752686,4.0,0.19423118233680725,1,4,0.13978379803149277,1.0,0.025612711502235073,0.7137255072593689,0.008041172288358212,31.830888845998007,0.9626670479774475,1.0229395627975464,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_009_g02_m01/perturbed_edited.png,0.04672393202781677,0.04672393202781677,phase3_breadth_probe,0.1426962001845079,0.13978379803149277,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,9,1,clothing,0.5909339189529419,51001,0.0007281005382537842,4.0,0.94,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07,medium,4.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07,15,cand_015_g02_m07,0.04745203256607056,0.04745203256607056,True,0.00037291646003723145,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0004', 'semantic_drop_small:0.0004']",0.00037291646003723145,4.9346366208046675,0.14090995800571568,0.00037291646003723145,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.0160999306004387,0.45490196347236633,0.0036309638526290655,0.50021505355835,35.86351992024683,0.970012903213501,2.34218168258667,4.0,0.19655978679656982,7,4,0.13941829216556675,1.0,0.025750872522783595,0.8352941274642944,0.007719170767813921,31.78416102145739,0.9635851979255676,1.3351022005081177,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/add_a_red_scarf/medium/seed_00/candidates/cand_015_g02_m07/perturbed_edited.png,0.047079116106033325,0.047079116106033325,phase3_breadth_probe,0.14090995800571568,0.13941829216556675,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",add a red scarf,6,add_a_red_scarf,10,1,clothing,0.6118305921554565,51001,0.00037291646003723145,4.0,0.94,4
