best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01,9,cand_009_g02_m01,0.02052225172519684,0.02052225172519684,True,0.0016923993825912476,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0017', 'semantic_drop_small:0.0017']",0.0016923993825912476,4.590649010613561,0.320692774761767,0.0016923993825912476,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.018232021434658862,0.40784314274787903,0.004091121256351471,0.5669203996658324,34.783303544894345,0.9566920399665833,5.745632171630859,6.0,0.2947462201118469,1,4,0.313923177231402,1.0,0.057509853717945716,0.7803921699523926,0.020032282918691635,24.805154741444827,0.9161162376403809,2.512563705444336,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_009_g02_m01/perturbed_edited.png,0.01882985234260559,0.01882985234260559,phase3_breadth_probe,0.320692774761767,0.313923177231402,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,1,1,smile,0.9771482944488525,52101,0.0016923993825912476,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02,10,cand_010_g02_m02,0.02052225172519684,0.02052225172519684,True,-0.0025724470615386963,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0026', 'semantic_drop_nonpositive:-0.0026']",0.0,4.548484545201063,0.19819216019076713,-0.0025724470615386963,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.02348516381048423,0.5176470875740051,0.005171502474695444,0.47926700115203846,32.58412812478069,0.9479267001152039,5.582940101623535,6.0,0.37934428453445435,2,4,0.19819216019076713,1.0,0.03724064947705122,0.8823529481887817,0.01193816214799881,28.579655070548675,0.9507704377174377,3.584583282470703,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_010_g02_m02/perturbed_edited.png,0.023094698786735535,0.023094698786735535,phase3_breadth_probe,0.19819216019076713,0.19819216019076713,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,2,1,smile,0.9494795799255371,52101,-0.0025724470615386963,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06,6,cand_006_g01_m06,0.02052225172519684,0.02052225172519684,True,-0.0029402971267700195,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0029', 'semantic_drop_nonpositive:-0.0029']",0.0,4.669410081580281,0.1716412734004495,-0.0029402971267700195,1,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.017479739593503848,0.3607843220233917,0.004056668374687433,0.539925456047058,35.14930083214071,0.9539925456047058,4.7674946784973145,6.0,0.27145540714263916,6,4,0.1716412734004495,1.0,0.031977097963607246,0.8235294222831726,0.012566469609737396,29.903219051683138,0.9562671184539795,2.4266090393066406,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_006_g01_m06/perturbed_edited.png,0.023462548851966858,0.023462548851966858,phase3_breadth_probe,0.1716412734004495,0.1716412734004495,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,3,1,smile,0.9558093547821045,52101,-0.0029402971267700195,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07,15,cand_015_g02_m07,0.02052225172519684,0.02052225172519684,True,-0.0002698451280593872,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0003', 'semantic_drop_nonpositive:-0.0003']",0.0,4.747204964980483,0.1565952064196776,-0.0002698451280593872,2,0.0,1.0,region_local_mesh,False,False,0.0,3.0,0.021776393716771085,0.5254902243614197,0.004957172088325024,0.5020818710327147,33.240280800680935,0.9502081871032715,5.501110076904297,6.0,0.34219637513160706,7,4,0.1565952064196776,1.0,0.0296195686260986,0.8352941274642944,0.009076311253011227,30.568425415060034,0.9618830680847168,3.261897325515747,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_015_g02_m07/perturbed_edited.png,0.020792096853256226,0.020792096853256226,phase3_breadth_probe,0.1565952064196776,0.1565952064196776,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,4,1,smile,0.9565589427947998,52101,-0.0002698451280593872,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03,11,cand_011_g02_m03,0.02052225172519684,0.02052225172519684,True,-0.0010622292757034302,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0011', 'semantic_drop_nonpositive:-0.0011']",0.0,4.611380059272051,0.1485385023826831,-0.0010622292757034302,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.016677284928953588,0.45098042488098145,0.003666771575808525,0.6221089363098143,35.55749302642432,0.9622108936309814,5.0690016746521,6.0,0.24335630238056183,3,4,0.1485385023826831,1.0,0.0279366603313504,0.8196078538894653,0.010790971107780933,31.07651025101939,0.9632081389427185,1.9904825687408447,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_011_g02_m03/perturbed_edited.png,0.02158448100090027,0.02158448100090027,phase3_breadth_probe,0.1485385023826831,0.1485385023826831,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,5,1,smile,0.8914637565612793,52101,-0.0010622292757034302,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05,13,cand_013_g02_m05,0.02052225172519684,0.02052225172519684,True,-0.0002564936876296997,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0003', 'semantic_drop_nonpositive:-0.0003']",0.0,4.642987074330449,0.13975252677277328,-0.0002564936876296997,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.015111548508073334,0.3647059202194214,0.0034661090467125177,0.6102046966552733,36.41382060858195,0.9610204696655273,5.110201835632324,6.0,0.25432541966438293,5,4,0.13975252677277328,1.0,0.02650850010235012,0.8117647171020508,0.009455946274101734,31.532296894376998,0.9662814736366272,2.3889384269714355,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_013_g02_m05/perturbed_edited.png,0.020778745412826538,0.020778745412826538,phase3_breadth_probe,0.13975252677277328,0.13975252677277328,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,6,1,smile,0.9739158153533936,52101,-0.0002564936876296997,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02,2,cand_002_g01_m02,0.02052225172519684,0.02052225172519684,True,-0.001592785120010376,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0016', 'semantic_drop_nonpositive:-0.0016']",0.0,4.569751424714923,0.13549516574097442,-0.001592785120010376,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.015435376223944952,0.38823533058166504,0.0033618903253227472,0.6617299318313598,36.22965561001029,0.966172993183136,3.1868889331817627,6.0,0.1837470382452011,2,4,0.13549516574097442,1.0,0.026607731917383196,0.8156862854957581,0.007751090452075005,31.499842875560642,0.9709357619285583,1.7084639072418213,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_002_g01_m02/perturbed_edited.png,0.022115036845207214,0.022115036845207214,phase3_breadth_probe,0.13549516574097442,0.13549516574097442,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,7,1,smile,0.7707428932189941,52101,-0.001592785120010376,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07,7,cand_007_g01_m07,0.02052225172519684,0.02052225172519684,True,0.0030406564474105835,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_small:0.0030', 'semantic_drop_small:0.0030']",0.0030406564474105835,4.632139822468162,0.1306389177055846,0.0030406564474105835,1,0.0,1.0,combined_all,False,False,0.0,3.0,0.015121177031702316,0.3647059202194214,0.003368526929989457,0.6614152193069457,36.408288041143635,0.9661415219306946,2.6557302474975586,6.0,0.16370558738708496,7,4,0.11847629191594228,1.0,0.022473206227314732,0.6666666865348816,0.00854747835546732,32.96669925700561,0.9714165329933167,1.4498507976531982,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_007_g01_m07/perturbed_edited.png,0.017481595277786255,0.017481595277786255,phase3_breadth_probe,0.1306389177055846,0.11847629191594228,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,8,1,smile,0.4516548216342926,52101,0.0030406564474105835,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08,16,cand_016_g02_m08,0.02052225172519684,0.02052225172519684,True,-0.0010703057050704956,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0011', 'semantic_drop_nonpositive:-0.0011']",0.0,4.60449999384582,0.13049845722466175,-0.0010703057050704956,2,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.015925583049477908,0.38823533058166504,0.0036653652787208557,0.5828264951705932,35.95809317603979,0.9582826495170593,5.56303071975708,6.0,0.26699429750442505,8,4,0.13049845722466175,1.0,0.02423645264692471,0.8078431487083435,0.00872504897415638,32.31061890183502,0.9664473533630371,2.081312656402588,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_016_g02_m08/perturbed_edited.png,0.021592557430267334,0.021592557430267334,phase3_breadth_probe,0.13049845722466175,0.13049845722466175,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,9,1,smile,0.9666627645492554,52101,-0.0010703057050704956,4.0,0.9,4
phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04,strong,6.0,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04,12,cand_012_g02_m04,0.02052225172519684,0.02052225172519684,True,-0.0004728585481643677,,False,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['semantic_drop_nonpositive:-0.0005', 'semantic_drop_nonpositive:-0.0005']",0.0,4.59683308750391,0.12309954691467773,-0.0004728585481643677,2,0.0,1.0,combined_all,False,False,0.0,3.0,0.014432128591853997,0.3607843220233917,0.003312224755063653,0.6331053972244262,36.81339220346533,0.9633105397224426,4.418385982513428,6.0,0.22006800770759583,4,4,0.12309954691467773,1.0,0.02325175237789276,0.8078431487083435,0.00851619616150856,32.6708862151623,0.9699074625968933,1.8896348476409912,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04/flow.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04/original.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04/original_edited.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04/perturbed.png,phase3/outputs/breadth_probe/cases/face_007/igs_1p00/make_the_person_smile_slightly/strong/seed_00/candidates/cand_012_g02_m04/perturbed_edited.png,0.020995110273361206,0.020995110273361206,phase3_breadth_probe,0.12309954691467773,0.12309954691467773,"4.0*max(0,semantic_drop)+1.0*output_disruption-3.0*input_damage_penalty-1.0*geometry_excess_penalty",make the person smile slightly,9,make_the_person_smile_slightly,10,1,smile,0.7559313774108887,52101,-0.0004728585481643677,4.0,0.9,4
