case_id,clean_clip_margin,clean_l2,clean_original_path,clean_output_path,clean_psnr,clean_quality_label,clean_ssim,existing_facial_hair,existing_glasses,face_id,guidance_scale,image_guidance_scale,image_path,num_inference_steps,phase,priority_group,prompt,prompt_priority,prompt_slug,prompt_type,reason_selected,reject_reason,seed,selected_for_breadth_probe
face_001__add_headphones__igs_1p00,0.033442527055740356,0.09116842864026929,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_1p00/clean_edit.png,20.803110610872263,clean_success_candidate,0.8148143887519836,False,False,face_001,7.5,1.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add headphones,1,add_headphones,headphones,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_headphones__igs_1p50,0.026972919702529907,0.04320255387594389,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_1p50/clean_edit.png,27.289811590809826,clean_success_candidate,0.8577380180358887,False,False,face_001,7.5,1.5,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add headphones,1,add_headphones,headphones,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_headphones__igs_2p00,-0.0031796395778656006,0.0362503806764247,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_2p00/clean_edit.png,28.813748568175576,reject_clean_semantic_margin,0.8311904072761536,False,False,face_001,7.5,2.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add headphones,1,add_headphones,headphones,,clean_clip_margin_nonpositive:-0.0032,1234,False
face_001__add_black_sunglasses__igs_1p00,0.04297789931297302,0.19749952367532003,phase3/outputs/clean_discovery/cases/face_001/add_black_sunglasses/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_black_sunglasses/igs_1p00/clean_edit.png,14.088678949148349,clean_success_candidate,0.7154012322425842,False,False,face_001,7.5,1.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add black sunglasses,2,add_black_sunglasses,glasses,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_black_sunglasses__igs_1p50,0.031763821840286255,0.12701428480751706,phase3/outputs/clean_discovery/cases/face_001/add_black_sunglasses/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_001/add_black_sunglasses/igs_1p50/clean_edit.png,17.92294865738367,clean_success_candidate,0.7865964770317078,False,False,face_001,7.5,1.5,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add black sunglasses,2,add_black_sunglasses,glasses,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_black_sunglasses__igs_2p00,0.032210588455200195,0.10011085795362021,phase3/outputs/clean_discovery/cases/face_001/add_black_sunglasses/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_black_sunglasses/igs_2p00/clean_edit.png,19.990376333808197,clean_success_candidate,0.7961211204528809,False,False,face_001,7.5,2.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add black sunglasses,2,add_black_sunglasses,glasses,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_round_glasses__igs_1p00,0.03672322630882263,0.09734232513431965,phase3/outputs/clean_discovery/cases/face_001/add_round_glasses/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_round_glasses/igs_1p00/clean_edit.png,20.23396568682568,clean_success_candidate,0.8104336857795715,False,False,face_001,7.5,1.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add round glasses,3,add_round_glasses,glasses,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_round_glasses__igs_1p50,0.029592394828796387,0.033822222036598064,phase3/outputs/clean_discovery/cases/face_001/add_round_glasses/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_001/add_round_glasses/igs_1p50/clean_edit.png,29.41595727448596,clean_success_candidate,0.8498570919036865,False,False,face_001,7.5,1.5,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add round glasses,3,add_round_glasses,glasses,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_round_glasses__igs_2p00,0.021425366401672363,0.03384509484691436,phase3/outputs/clean_discovery/cases/face_001/add_round_glasses/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_round_glasses/igs_2p00/clean_edit.png,29.41008529011193,clean_success_candidate,0.83723384141922,False,False,face_001,7.5,2.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add round glasses,3,add_round_glasses,glasses,clean_success_not_selected_due_first_run_cap_or_diversity,,1234,False
face_001__add_a_small_beard__igs_1p00,0.029749155044555664,0.07732354885291948,phase3/outputs/clean_discovery/cases/face_001/add_a_small_beard/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_a_small_beard/igs_1p00/clean_edit.png,22.233764434858614,clean_success_candidate,0.7921778559684753,False,False,face_001,7.5,1.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add a small beard,4,add_a_small_beard,beard,selected_for_phase3b_breadth_probe,,1234,True
